XID,Project Name,City,Magicbricks.com Link
r403309,Whiteland The Aspen,Gurgaon,https://www.magicbricks.com/project-whiteland-the-aspen-for-sale-in-gurgaon-pppfs
r2878,BPTP Astaire Gardens,Gurgaon,https://www.magicbricks.com/bptp-astaire-gardens-sector-70a-gurgaon-pdpid-4d4235303031313136
r424460,M3M Mansion,Gurgaon,https://www.magicbricks.com/m3m-mansion-sector-113-gurgaon-pdpid-4d4235343139383537
r383939,Concorde Opus 2,Bangalore South,https://www.magicbricks.com/project-plots-concorde-opus-ii-for-sale-in-bangalore-pppfs
r410244,Sapthagiri Sandalwoods,Bangalore East,https://www.magicbricks.com/project-sapthagiri-sandalwoods-for-sale-in-bangalore-pppfs
r415046,NCC Signature Towers,Chennai South,https://www.magicbricks.com/project-ncc-urban-signature-towers-3bhk-for-sale-in-chennai-pppfs
r399608,DAC Manapark,Chennai South,https://www.magicbricks.com/dac-manapark-manapakkam-chennai-pdpid-4d4235343131393231
r141415,DMK Stella,Pune North,https://www.magicbricks.com/project-dmk-stella-2bhk-for-sale-in-pune-pppfs
r433160,Serene 11,Vadodara,https://www.magicbricks.com/serene-county-kalali-vadodara-pdpid-4d4235303938343537
r434129,Bavasons Villa Exotica,Kochi,Not Found
r393034,Gowthami Valley View,Visakhapatnam,https://www.magicbricks.com/gowthami-valley-view-kondagangupudi-vizianagaram-pdpid-4d4235333333343237
r433861,SKA Divine,Ghaziabad,https://www.magicbricks.com/ska-divine-wave-city-ghaziabad-pdpid-4d4235343234313931
r431021,Hiranandani Westgate,Thane,https://www.magicbricks.com/project-hiranandani-westgate-3bhk-for-sale-in-thane-pppfs
r401861,Geetais The Palm,Nagpur,https://www.magicbricks.com/palm-city-wardha-road-nagpur-pdpid-4d4235303336353639
r413695,Swastik Mangal Apartment,Nasik,Not Found
r421069,Dream Aspire,Western Mumbai,https://www.magicbricks.com/dream-aspire-andheri-west-mumbai-pdpid-4d4235343232303439
r419028,Goldenkey Meraki,Hyderabad,https://www.magicbricks.com/goldenkey-meraki-ameenpur-hyderabad-pdpid-4d4235333333303035
r380877,Avni Homes Nirvana,Kochi,https://www.magicbricks.com/nirvana-kakkanad-kochi-pdpid-4d4235343136383137
r412016,Kolte Patil Life Republic Atmos,Pune West,Not Found
r428690,Nivasa Ananya,Pune East,https://www.magicbricks.com/project-nivasa-ananya-3bhk-for-sale-in-pune-pppfs
r8390,RPS Auria Residences,Faridabad,https://www.magicbricks.com/project-rps-auria-residences-for-sale-in-faridabad-pppfs
r429963,RGGC Smart Homes,Bangalore North,Not Found
r422517,Radiance The Prime,Chennai South,https://www.magicbricks.com/project-radiance-the-prime-2bhk-for-sale-in-chennai-pppfs
r422150,Godrej Woodscapes,Bangalore East,Not Found
r410488,Sarvatra,Pune Central,Not Found
r434128,Ratifier Atal Vihar,Lucknow,Not Found
r340395,Kandoli Heights,Dehradun,https://www.magicbricks.com/Kandoli-in-Dehradun-Overview
r393052,DSR Skymarq,Hyderabad,https://www.magicbricks.com/skymarq-by-dsr-puppalaguda-hyderabad-pdpid-4d4235333838343433
r437016,Arjith Allure,Trichy,Not Found
r438223,Sophia Nest,Kochi,Not Found
r431532,Kalpataru Advay,Western Mumbai,https://www.magicbricks.com/kalpataru-advay-borivali-west-mumbai-pdpid-4d4235343232383333
r373245,Express Astra,Greater Noida,https://www.magicbricks.com/express-astra-noida-extension-greater-noida-pdpid-4d4235323234343537
r393708,The Islands by Gaurs,Greater Noida,https://www.magicbricks.com/gaurs-the-islands-jaypee-greens-greater-noida-pdpid-4d4235333332373531
r276863,Mahimas Shubh Nilay,Jaipur,https://www.magicbricks.com/mahimas-shubh-nilay-ajmer-road-jaipur-pdpid-4d4235303933353935
r425355,Sophia Amelia,Kochi,https://www.magicbricks.com/sophia-amelia-edappally-kochi-pdpid-4d4235343231353633
r416504,Bricks Marvella,Hyderabad,https://www.magicbricks.com/bricks-marvella-tellapur-hyderabad-pdpid-4d4235343139333735
r384380,Sugam Prakriti,Kolkata South,https://www.magicbricks.com/sugam-prakriti-kamalgazi-kolkata-pdpid-4d4235333235383733
r402571,Shilp Residency,Ahmedabad North,https://www.magicbricks.com/project-shilp-residency-for-sale-in-ahmedabad-pppfs
r414367,Adarsh Welkin Park,Bangalore East,https://www.magicbricks.com/project-adarsh-welkin-park-for-sale-in-bangalore-pppfs
r417559,Adani Embrace,Ahmedabad North,Not Found
r15718,Navins Hillview Avenue,Chennai South,https://www.magicbricks.com/navins-hillview-avenue-thirumudivakkam-chennai-pdpid-4d4235303731323835
r401824,Ramky Nextown,Hyderabad,Not Found
r366979,Shantanu Green,Vadodara,https://www.magicbricks.com/project-shantanu-green-for-sale-in-vadodara-pppfs
r390078,Utkal Reserve,Bhubaneswar,https://www.magicbricks.com/utkal-reserve-patrapada-bhubaneswar-pdpid-4d4235333332323531
r431691,Krushna Pride 4,Nasik,Not Found
r435547,Bright Temple bells,Bangalore East,Not Found
r148571,Thanekar Civic,Thane Outskirts,https://www.magicbricks.com/bhagirathi-estate-kalyan-west-beyond-thane-pdpid-4d4235303730303037
r434721,Walls N Windows Twinz,Hyderabad,Not Found
r390049,Hivision Heights,Hyderabad,https://www.magicbricks.com/hivision-heights-kompally-hyderabad-pdpid-4d4235333334313535
r355806,Jayabharath Yoga Mudhra,Coimbatore,https://www.magicbricks.com/yoga-mudhra-chinnavedam-patti-coimbatore-pdpid-4d4235313635303831
r417437,Brindavanam,Coimbatore,Not Found
r419163,Kohinoor Viva Pixel,Pune East,https://www.magicbricks.com/project-kohinoor-viva-pixel-for-sale-in-pune-pppfs
r416806,Basil Maximus,Pune West,https://www.magicbricks.com/project-basil-maximus-for-sale-in-pune-pppfs
r389975,Godrej Horizon,South Mumbai,https://www.magicbricks.com/project-godrej-horizon-2bhk-for-sale-in-mumbai-pppfs
r1646,Sagar Avenue 2,Western Mumbai,https://www.magicbricks.com/sagar-avenue-phase-ii-santacruz-east-mumbai-pdpid-4d4235303237323736
r432330,Sumangalam Shubh Arena,Kota,Not Found
r429177,Atlantis Grand,Chandigarh,https://www.magicbricks.com/krishna-atlantis-grand-zirakpur-chandigarh-pdpid-4d4235343232333035
r323217,Steel Strips Towers,Chandigarh,https://www.magicbricks.com/sab-steel-strips-towers-dera-bassi-chandigarh-pdpid-4d4235323239323435
r411677,Ruheen Shree,Jaipur,https://www.magicbricks.com/ruheen-shree-jagatpura-jaipur-pdpid-4d4235343138333237
r427054,Anjaneya Crest by Yash Infraventures,Nagpur,Not Found
r378606,Darshanam Bliss,Vadodara,https://www.magicbricks.com/darshanam-bliss-tarsali-vadodara-pdpid-4d4235333035323439
r421262,Nahar Vibha,Chennai South,Not Found
r400428,The Banyan Tree Rosetta,Kolkata East,https://www.magicbricks.com/rosetta-new-town-kolkata-pdpid-4d4235333434323231
r385556,The Vue Residences,Hyderabad,https://www.magicbricks.com/raghuram-the-vue-residences-puppalaguda-hyderabad-pdpid-4d4235333237363635
r410449,Prestige Park Grove,Bangalore East,https://www.magicbricks.com/project-prestige-park-grove-for-sale-in-bangalore-pppfs
r432538,Laxmi Serenity,Ahmedabad South,Not Found
r329835,SCC Blossom,Ghaziabad,https://www.magicbricks.com/scc-blossom-raj-nagar-extension-ghaziabad-pdpid-4d4235333235393135
r411353,Natural Quest,Kolkata South,https://www.magicbricks.com/project-natural-quest-for-sale-in-kolkata-pppfs
r405535,Park One,Thane Outskirts,Not Found
r273521,Bhawani Heights,Patna,https://www.magicbricks.com/bhawani-heights-saguna-more-patna-pdpid-4d4235333939313039
r433764,Aaranyak,Bankura,Not Found
r326299,VTP Township Codename Blue Waters,Pune West,https://www.magicbricks.com/vtp-blue-waters-mahalunge-pune-pdpid-4d4235313232393533
r167135,M2K Suites,South Delhi,https://www.magicbricks.com/m2k-suites-kailash-colony-new-delhi-pdpid-4d4235303131333233
r326115,Nirvana,Kolkata South,https://www.magicbricks.com/srijan-nirvana-em-bypass-kolkata-pdpid-4d4235313232373535
r431636,Solaris Residency,Ahmedabad West,https://www.magicbricks.com/project-solaris-residency-3bhk-for-sale-in-ahmedabad-pppfs
r407778,Skyline Imperia,Kolkata South,https://www.magicbricks.com/skyline-imperia-rajpur-sonarpur-kolkata-pdpid-4d4235333234323739
r418577,Superior Exotica,Navi Mumbai,https://www.magicbricks.com/superior-exotica-airoli-navi-mumbai-pdpid-4d4235343234393935
r401978,Twin Celestial by Ambesten Homes,Greater Noida,https://www.magicbricks.com/twin-celestial-noida-extension-greater-noida-pdpid-4d4235333235363937
r385666,SSI Som Boulevard,Hyderabad,https://www.magicbricks.com/project-ssi-kc-som-boulevard-for-sale-in-hyderabad-pppfs
r371964,Nyati Exuberance,Pune South,https://www.magicbricks.com/nyati-exuberance-i-undri-pune-pdpid-4d4235323137383733
r382672,Mahaavir Exotique,Navi Mumbai,https://www.magicbricks.com/mahaavir-exotique-kharghar-navi-mumbai-pdpid-4d4235333230333337
r399309,Lodha Giardino,Pune East,https://www.magicbricks.com/project-lodha-giardino-for-rent-in-pune-pppfr
r428517,A V Bhat Anandam Phase 1,Pune West,Not Found
r1031,Marathon Nexzone,Navi Mumbai,https://www.magicbricks.com/marathon-nexzone-panvel-navi-mumbai-pdpid-4d4235303733363431
r389107,Govind Residency 1,Nagpur,https://www.magicbricks.com/bhavya-govind-residency-i-nara-nagpur-pdpid-4d4235343233393637
r334081,Provident Capella,Bangalore East,https://www.magicbricks.com/provident-capella-whitefield-bangalore-pdpid-4d4235313235313335
r28676,Siddha Happyville,Kolkata East,https://www.magicbricks.com/project-siddha-happyville-4bhk-for-sale-in-kolkata-pppfs
r271423,Rohra Galaxy,Kolkata East,https://www.magicbricks.com/rohra-galaxy-new-town-kolkata-pdpid-4d4235313431383035
r270301,Aakriti Miro,Hyderabad,https://www.magicbricks.com/aakriti-miro-nallagandla-hyderabad-pdpid-4d4235303938373335
r14386,Ajnara Integrity,Ghaziabad,https://www.magicbricks.com/project-ajnara-integrity-for-sale-in-ghaziabad-pppfs
r409341,Folium By Sumadhura Phase 2,Bangalore East,https://www.magicbricks.com/folium-by-sumadhura-phase-2-whitefield-bangalore-pdpid-4d4235343036313433
r430191,Adani Lushlands,Gurgaon,https://www.magicbricks.com/adani-lushlands-gwal-pahari-gurgaon-pdpid-4d4235343232363233
r428100,Avittam Adiyogi Thiruvanmiyur,Chennai South,https://www.magicbricks.com/avittam-adiyogi-thiruvanmiyur-chennai-pdpid-4d4235343233383139
r430665,Golden Era Home,Chandigarh,https://www.magicbricks.com/project-golden-era-home-for-sale-in-zirakpur-pppfs
r372184,Raghuvir Satva,Surat,https://www.magicbricks.com/project-raghuvir-satva-for-sale-in-surat-pppfs
r408715,Aksara Green Scapes,Hyderabad,Not Found
r435871,Mmirari House,North Goa,Not Found
r373148,Elysian by Oberoi Realty,Western Mumbai,https://www.magicbricks.com/project-oberoi-elysian-for-sale-in-mumbai-pppfs
r14640,Neelam Senroofs,Central Mumbai,Not Found
r19674,Skytech Colours Avenue,Greater Noida,https://www.magicbricks.com/skytech-colours-avenue-noida-extension-greater-noida-pdpid-4d4235303730333633
r350069,Nikunjam Tharangini,Trivandrum,https://www.magicbricks.com/project-nikunjam-tharangini-for-rent-in-trivandrum-pppfr
r424985,Mukurthi Tiara,Coimbatore,Not Found
r416277,Shreekhetra Greenpark,Bhubaneswar,https://www.magicbricks.com/shreekhetra-greenpark-patrapada-bhubaneswar-pdpid-4d4235343138393733
r416159,Lodha Mirabelle,Bangalore North,https://www.magicbricks.com/project-lodha-mirabelle-3bhk-for-sale-in-bangalore-pppfs
r18410,Experion The Westerlies,Gurgaon,https://www.magicbricks.com/experion-the-westerlies-sector-108-gurgaon-pdpid-4d4235323835333437
r395389,Signature Global City 63A,Gurgaon,https://www.magicbricks.com/signature-global-city-63a-sector-63a-gurgaon-pdpid-4d4235333333323633
r65774,Modi Edifice,Hyderabad,https://www.magicbricks.com/modi-edifice-bachupally-hyderabad-pdpid-4d4235313832353633
r213249,Godrej 101,Gurgaon,https://www.magicbricks.com/godrej-101-sector-79-gurgaon-pdpid-4d4235303834343632
r156477,Master Orchard Estate,Kolkata North,https://www.magicbricks.com/orchard-estate-madhyam-gram-kolkata-pdpid-4d4235303834343037
r396053,Vivaan Ixora,Ahmedabad North,https://www.magicbricks.com/project-vivaan-ixora-for-sale-in-ahmedabad-pppfs
r403616,DS Max Shreshta,Bangalore North,https://www.magicbricks.com/ds-max-shresta-bellahalli-bangalore-pdpid-4d4235333933383933
r427124,Harvi Helenium,Ahmedabad West,Not Found
r432912,Vishaka Sai Villas,Chennai South,Not Found
r417989,Shreeji Elevate,Nasik,https://www.magicbricks.com/shreeji-elevate-indira-nagar-nashik-pdpid-4d4235343233363739
r423457,Shyama Icon,Vadodara,https://www.magicbricks.com/shyama-icon-sevasi-vadodara-pdpid-4d4235343139333937
r424266,Elite Vivanta,Navi Mumbai,Not Found
r427931,Lansum Evana,Visakhapatnam,Not Found
r427908,Kosmic Kourtyard Phase 2,Pune East,https://www.magicbricks.com/project-kosmic-kourtyard-2bhk-for-sale-in-pune-pppfs
r432044,Atmosphere Anandham,Chennai South,Not Found
r415490,FK Meadows Square,Chennai South,Not Found
r428422,Serenity Shores,South Goa,Not Found
r435889,Kian Bliss,Navi Mumbai,Not Found
r401774,Green Park City,Lucknow,https://www.magicbricks.com/ak-green-park-city-sultanpur-road-lucknow-pdpid-4d4235333933373435
r24770,HFL Presidency Estate,Bhiwadi,https://www.magicbricks.com/presidency-estate-alwar-bypass-road-bhiwadi-pdpid-4d4235303330343533
r423503,Villa Heritage,Navi Mumbai,https://www.magicbricks.com/project-sea-queen-heritage-for-sale-in-navi-mumbai-pppfs
r390821,Paradise Sai World Dreams,Thane Outskirts,https://www.magicbricks.com/paradise-sai-world-dreams-dombivli-east-beyond-thane-pdpid-4d4235333332373737
r398157,Manorath 56,Vadodara,https://www.magicbricks.com/manorath-56-bhayli-vadodara-pdpid-4d4235343138303533
r385012,MVV Towers,Visakhapatnam,https://www.magicbricks.com/mvv-srinivasa-towers-seethammadhara-visakhapatnam-pdpid-4d4235313733323331
r413095,TVH Swarnam,Coimbatore,Not Found
r227169,Doon Boulevard,Dehradun,https://www.magicbricks.com/d-d-doon-boulevard-mussoorie-road-dehradun-pdpid-4d4235313432323931
r426520,Conscient Parq,Gurgaon,Not Found
r413450,JBs Pride,Hyderabad,Not Found
r403481,Brigade Calista,Bangalore East,https://www.magicbricks.com/project-brigade-calista-phase-2-3bhk-for-sale-in-bangalore-pppfs
r1030,M3M Golfestate,Gurgaon,https://www.magicbricks.com/m3m-golf-estate-sector-65-gurgaon-pdpid-4d4235303230373936
r18616,Magus Vedantam Minaret,Ghaziabad,https://www.magicbricks.com/vedantam-minaret-indirapuram-ghaziabad-pdpid-4d4235303130393836
r433864,Pooja Sri Kumaran Heritage,Chennai South,Not Found
r411124,Jarry Emperio,Nagpur,https://www.magicbricks.com/the-empire-by-jarry-profit-&-r-sandesh-group-kadvi-chowk-nagpur-pdpid-4d4235333238323639
r426545,Parth Sunrise,Jaipur,https://www.magicbricks.com/project-parth-sunrise-for-sale-in-jaipur-pppfs
r406986,Vrundavan Bliss,Vadodara,Not Found
r420412,Palm Paradise,Vadodara,Not Found
r349831,Gethome One,Kolkata South,https://www.magicbricks.com/gethome-one-sonarpur-kolkata-pdpid-4d4235323035333431
r407809,ESR Premium County,Hyderabad,https://www.magicbricks.com/project-plots-bhashyam-premium-county-3-for-sale-in-hyderabad-pppfs
r425745,Vishal Eastern Front,Pune East,https://www.magicbricks.com/eastern-front-mundhwa-pune-pdpid-4d4235343234353733
r383398,Praneeth Kkrs Pranav Jaitra,Hyderabad,https://www.magicbricks.com/praneeth-kkrs-pranav-jaitra-hyder-nagar-hyderabad-pdpid-4d4235333234383533
r405436,IDC Eartha Casa,Nagpur,Not Found
r326229,ATS Pious Hideaways,Noida,https://www.magicbricks.com/project-ats-pious-hideaways-for-sale-in-noida-pppfs
r396838,Lodha Bellevue,South Mumbai,Not Found
r394347,Piya Castle,Guwahati,https://www.magicbricks.com/pragjyotish-piya-castle-chandmari-guwahati-pdpid-4d4235343231373437
r376632,Dreamland Harnarain Aeropolis,Varanasi,https://www.magicbricks.com/harnarain-aeropolis-pindra-varanasi-pdpid-4d4235333038313331
r431285,Ayansh Prime 24,Jaipur,https://www.magicbricks.com/ayansh-prime-24-mansarovar-jaipur-pdpid-4d4235343233353835
r390606,Oxina Castles,Trichy,Not Found
r423306,Kochar Gagan,Chennai West,https://www.magicbricks.com/kochar-gagan-porur-chennai-pdpid-4d4235343231383433
r432549,TREVOC Royal Residences,Gurgaon,https://www.magicbricks.com/trevoc-royal-residences-sector-56-gurgaon-pdpid-4d4235343233353435
r426150,Vaswani Starlight,Bangalore East,https://www.magicbricks.com/vaswani-starlight-whitefield-bangalore-pdpid-4d4235343230343035
r414631,Pavani Felicity,Hyderabad,https://www.magicbricks.com/sai-sravanthi-pavani-felicity-nizampet-hyderabad-pdpid-4d4235333836303237
r425392,Realmark Amora,Kolkata South,https://www.magicbricks.com/amora-tollygunge-kolkata-pdpid-4d4235343230373437
r271787,Brigade Xanadu,Chennai North,https://www.magicbricks.com/project-brigade-xanadu-for-sale-in-chennai-pppfs
r425026,Royale Mriga by Thigazhvan Estate,Chennai South,Not Found
r422115,Vaibhavis Vihaan Shikhara,Hyderabad,https://www.magicbricks.com/vaibhavis-vihaan-shikhara-tellapur-hyderabad-pdpid-4d4235343139373735
r400934,Visions Arsha,Hyderabad,https://www.magicbricks.com/visions-arsha-tellapur-hyderabad-pdpid-4d4235333535343737
r381526,Sapnil Residency BT Road,Kolkata North,https://www.magicbricks.com/sapnil-residency-bonhooghly-kolkata-pdpid-4d4235303236323239
r434125,Ananya Township,Coimbatore,https://www.magicbricks.com/abi-ananya-township-karamadai-coimbatore-pdpid-4d4235343233383933
r401036,The Nest,Vadodara,Not Found
r427112,Casagrand Selenia,Chennai South,https://www.magicbricks.com/project-casagrand-selenia-3bhk-for-sale-in-chennai-pppfs
r287429,Shri Ji Awas Woods Residency,Gwalior,https://www.magicbricks.com/shri-ji-awas-woods-residency-sirol-gwalior-pdpid-4d4235333238393333
r390200,Antonia The Sky Villa,Nasik,https://www.magicbricks.com/antonia-the-sky-villa-govind-nagar-nashik-pdpid-4d4235333838303037
r61839,Mahidhara Fortune City,Bangalore South,https://www.magicbricks.com/project-plots-mahidhara-fortune-city-for-sale-in-bangalore-pppfs
r437302,Casa Margarida,North Goa,Not Found
r4872,Pace Anusa,Chennai South,https://www.magicbricks.com/pace-anusa-tambaram-west-tambaram-chennai-pdpid-4d4235303335383631
r432494,Kalra Apartment and Floors Janakpuri,West Delhi,Not Found
r433274,Signature Global Daxin Vistas,Gurgaon,https://www.magicbricks.com/signature-global-daxin-vistas-sohna-gurgaon-pdpid-4d4235343233353933
r412714,Regalia Krishna Kunj Central Courtyard,Hyderabad,https://www.magicbricks.com/regalia-krishna-kunj-central-courtyard-quthbullapur-hyderabad-pdpid-4d4235343136363639
r401790,Casagrand Southbrooke,Chennai South,https://www.magicbricks.com/project-casagrand-southbrooke-for-sale-in-chennai-pppfs
r348973,Peninsula Parkelite Phase 3,Bangalore East,https://www.magicbricks.com/peninsula-park-elite-phase-3-sarjapur-bangalore-pdpid-4d4235343232353133
r403842,Adani Samsara Avasa,Gurgaon,https://www.magicbricks.com/adani-samsara-avasa-sector-63-gurgaon-pdpid-4d4235343035303531
r415958,JRC Sanzio,Bangalore East,https://www.magicbricks.com/jrc-sanzio-sarjapur-bangalore-pdpid-4d4235343232373231
r433575,Royal Castle,Chennai South,https://www.magicbricks.com/amarprakash-the-royal-castle-chromepet-chennai-pdpid-4d4235303238393333
r419768,Shantam Nest,Vadodara,https://www.magicbricks.com/shantam-tarsali-vadodara-pdpid-4d4235313233363437
r427641,64 Hills,Pune West,https://www.magicbricks.com/manisha-constructions-64-hills-bavdhan-pune-pdpid-4d4235343232393533
r424094,Dragon Age Nottingham Homz,Lucknow,https://www.magicbricks.com/nottingham-homz-kishan-path-lucknow-pdpid-4d4235343139333439
r409651,ORO Constella,Lucknow,https://www.magicbricks.com/oro-constella-sushant-golf-city-lucknow-pdpid-4d4235333932323937
r381204,Vertex Giga City,Hyderabad,https://www.magicbricks.com/project-plots-klr-vertex-gigaciti-for-sale-in-hyderabad-pppfs
r427903,Nitara One Good Earth,Gurgaon,Not Found
r426777,Trifecta Vanto,Bangalore East,https://www.magicbricks.com/project-trifecta-vanto-phase-1-2bhk-for-sale-in-bangalore-pppfs
r395792,APR Praveens Golden Leaf,Hyderabad,https://www.magicbricks.com/apr-praveens-golden-leaf-turkayamjal-hyderabad-pdpid-4d4235343038373839
r428688,Central Park Flower Valley Bignonia Towers,Gurgaon,https://www.magicbricks.com/central-park-bignonia-towers-sohna-sector-32-gurgaon-pdpid-4d4235343231353135
r405310,Casagrand Cloud9,Chennai South,https://www.magicbricks.com/project-casagrand-cloud-9-3bhk-for-sale-in-chennai-pppfs
r430983,Stone And Acres Parkhills,Chennai South,https://www.magicbricks.com/residential-plots-land-for-sale-in-madurapakkam-chennai-pppfs
r368250,Vaibhav Upavan,Bangalore North,https://www.magicbricks.com/vaibhav-upavan-phase-1-h-cross-bangalore-pdpid-4d4235313933303835
r319819,Shapoorji Pallonji Joyville Gurugram,Gurgaon,https://www.magicbricks.com/shapoorji-pallonji-joyville-sector-102-gurgaon-pdpid-4d4235313139383533
r418780,Mana Dale,Bangalore East,https://www.magicbricks.com/project-mana-dale-3bhk-for-sale-in-bangalore-pppfs
r416927,Tulsi Paradise,Ahmedabad North,https://www.magicbricks.com/tulsi-paradise-motera-ahmedabad-pdpid-4d4235343230323435
r69896,Madhu Park Ville,Hyderabad,https://www.magicbricks.com/madhu-park-ville-tellapur-hyderabad-pdpid-4d4235313839383339
r257873,Trimurtys Arabella,Jaipur,https://www.magicbricks.com/trimurtys-arabella-bani-park-jaipur-pdpid-4d4235323137333331
r429830,The Nest Accolade,Chennai South,https://www.magicbricks.com/nest-accolade-kolapakkam-chennai-pdpid-4d4235343230383631
r435904,ACS Elegance,Chennai South,https://www.magicbricks.com/Pammal-in-Chennai-Overview
r414944,Teja Fortune Heights,Hyderabad,https://www.magicbricks.com/teja-fortune-heights-patancheru-hyderabad-pdpid-4d4235343138393035
r438048,Prateek Grand Begonia,Ghaziabad,https://www.magicbricks.com/prateek-grand-begonia-siddhartha-vihar-ghaziabad-pdpid-4d4235343234323437
r425268,Godrej Jardinia,Noida,https://www.magicbricks.com/godrej-jardinia-sector-146-noida-pdpid-4d4235343230363139
r122341,Purva Silversands,Pune East,https://www.magicbricks.com/project-puravankara-purva-silversands-2bhk-for-sale-in-pune-pppfs
r417625,Zuari Garden City Plots,Mysore,https://www.magicbricks.com/project-plots-zuari-garden-city-for-sale-in-mysore-pppfs
r401678,Western Springs,Hyderabad,https://www.magicbricks.com/project-western-springs-for-sale-in-hyderabad-pppfs
r422985,Serenity Shivam,Ahmedabad West,https://www.magicbricks.com/project-serenity-shivam-for-sale-in-ahmedabad-pppfs
r428162,Sri Harsham Maha Sri Township,Chengalpattu,Not Found
r414412,Navya,Kolkata North,Not Found
r421876,VGN Highland,Chennai West,Not Found
r428434,Premier JJS Sakthi Nagar,Chennai West,https://www.magicbricks.com/jjs-sakthi-nagar-sriperumbudur-chennai-pdpid-4d4235343231313331
r414400,Sunshine Green Meadows,Hyderabad,https://www.magicbricks.com/sunshine-green-meadows-bachupally-hyderabad-pdpid-4d4235333333303933
r411096,KA Brezza,Chennai North,Not Found
r383552,Lotus Grand,Hyderabad,Not Found
r385320,Glentree Pharma County,Hyderabad,https://www.magicbricks.com/glentree-pharma-county-ii-nandiwanaparthy-hyderabad-pdpid-4d4235343231353133
r422466,Panchratna Heritage,Ranchi,https://www.magicbricks.com/project-panchratna-heights-for-sale-in-ranchi-pppfs
r384372,Shantam Highland,Vadodara,https://www.magicbricks.com/shantam-highland-tarsali-vadodara-pdpid-4d4235333235313435
r25134,Shapoorji Pallonji Parkwest,Bangalore West,https://www.magicbricks.com/shapoorji-pallonji-parkwest-binny-pete-bangalore-pdpid-4d4235303238393335
r433847,Signature Global Twin Tower DXP,Gurgaon,Not Found
r326885,Majestique Rhythm County,Pune East,https://www.magicbricks.com/project-majestique-rhythm-county-1bhk-for-sale-in-pune-pppfs
r412175,Freedom Tower,Surat,https://www.magicbricks.com/freedom-tower-vesu-surat-pdpid-4d4235343136353139
r349973,Muthoot Homez Akkulam,Trivandrum,Not Found
r376817,Kedias The Kothi,Jaipur,https://www.magicbricks.com/kedias-the-kothi-sirsi-road-jaipur-pdpid-4d4235323936303539
r369498,The Aga Hall Estate,South Mumbai,Not Found
r403945,Irish Platinum,Greater Noida,https://www.magicbricks.com/irish-platinum-vaidpura-greater-noida-pdpid-4d4235343230373431
r43270,Skyline Speedway Avenue,Greater Noida,https://www.magicbricks.com/skyline-speedway-avenue-yamuna-expressway-greater-noida-pdpid-4d4235303239363636
r424016,Karamchand Greens,Nagpur,https://www.magicbricks.com/karamchand-greens-mouza-sondapar-nagpur-pdpid-4d4235343139353037
r384198,Shivalik Grace,Vadodara,Not Found
r412426,Samriddhi Atlantis,Raipur,Not Found
r263711,Shriram Grand City,Hooghly,https://www.magicbricks.com/shriram-grand-city-uttarpara-kolkata-pdpid-4d4235303930393139
r309295,Prakruthi Nandi Brindavan,Bangalore South,Not Found
r406547,Nova Sangamam,Chennai South,Not Found
r432975,Buildwell Yash Homes Luxury Builder Floors,Faridabad,Not Found
r430209,Casagrand Laurels,Chennai South,https://www.magicbricks.com/casagrand-laurels-thazhambur-chennai-pdpid-4d4235343138383735
r409859,Nest Art,Chennai South,https://www.magicbricks.com/project-nest-art-for-sale-in-chennai-pppfs
r429469,Sameera Mahalakshmi Nagar,Chennai North,https://www.magicbricks.com/sameera-mahalakshmi-nagar-red-hills-chennai-pdpid-4d4235343232333133
r379727,Gothic Pentagon Clouds,Hyderabad,https://www.magicbricks.com/gothic-pentagon-clouds-bachupally-hyderabad-pdpid-4d4235323933343135
r412178,Platinum East Woods,Bangalore East,https://www.magicbricks.com/project-platinum-east-woods-3bhk-for-sale-in-bangalore-pppfs
r405529,Navraj The Antalyas,Gurgaon,https://www.magicbricks.com/project-navraj-the-antalyas-for-sale-in-gurgaon-pppfs
r375918,Aparna Sarovar Zicon,Hyderabad,https://www.magicbricks.com/aparna-sarovar-zicon-nallagandla-hyderabad-pdpid-4d4235323530393533
r403426,Mahagun Sarovar Portico Hotel,Ghaziabad,Not Found
r377288,Mahaadeva My Fortune,Bangalore South,https://www.magicbricks.com/my-fortune-apartment-electronics-city-phase-1-bangalore-pdpid-4d4235333138323133
r416470,Ranjekar Dhanasampada,Pune Central,Not Found
r436236,Samruddhi heights,Nagpur,https://www.magicbricks.com/samruddhi-heights-somalwada-nagpur-pdpid-4d4235343236303633
r4006,RG Luxury Homes,Greater Noida,https://www.magicbricks.com/project-rg-luxury-homes-for-sale-in-greater-noida-pppfs
r4356,JLPL Falcon View,Mohali,https://www.magicbricks.com/project-jlpl-falcon-view-for-sale-in-mohali-pppfs
r151135,Sapphire Smart Homes,Ghaziabad,https://www.magicbricks.com/ruchira-sapphire-smart-homes-nh-24-ghaziabad-pdpid-4d4235303832353931
r410658,Sacred Shivansh,Ahmedabad West,https://www.magicbricks.com/project-sacred-shivansh-for-sale-in-ahmedabad-pppfs
r32486,Signia Isles,Western Mumbai,https://www.magicbricks.com/sunteck-signia-isles-bandra-kurla-complex-mumbai-pdpid-4d4235303832373539
r433778,Sumadhura Capitol Residences,Bangalore East,https://www.magicbricks.com/project-sumadhura-capitol-residences-for-sale-in-bangalore-pppfs
