XID,Project Name,Location,Price Range,Price per Sqft,Project Status,Configurations,Unit Sizes,Builder,Total Number of Units,Project Size,Launch Date,Completion Date,Locality,Micro Market,USP,Builder URL,Builder Experience,Ongoing Projects,Past Projects,RERA Number,Specifications,Sports Amenities,Convenience Amenities,Safety Amenities,Environment Amenities,Leisure Amenities
r5518,Neelkanth Greens,"Manpada, Thane",Rs1.45 Cr - 2.52 Cr,"Rs19,740 Per Sq. Ft",New Launch,"2, 3 BHK",695 Sq. Ft to 990 Sq. Ft (Carpet),Neelkanth,981 units,13.99 Acres,Ask for Details,"Sep 30, 2014",Manpada,Thane West,"New launches at strategic location in Manpada, Thane.,Unbeatable connectivity to Thane Ghodbunder Road, Agra Road, and Eastern Express Highway.,RERA registered with P51700000552, P51700013969, P51700049248.,Comprehensive sports and convenience amenities, including power backup.,Spectacular design with oil bound distemper and vitrified tiles flooring options.",https://www.squareyards.com/neelkanth-projects/586/builder,N/A,1,26,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green,Reading Room/Library; Clubhouse; Indoor Games; Spa
r382144,Lodha Palava Codename Epic,"Palava City, Thane",Rs42.12 Lac - 78.30 Lac,"Rs6,000 Per Sq. Ft",Ready to Move,"1, 2, 3 BHK",702 Sq. Ft to 1305 Sq. Ft (Saleable),Lodha,3000 units,Ask for Details,Ask for Details,Ask for Details,Palava City,Dombivli,"Luxurious apartments facing scenic city views in Palava City.,Strategic location near Pipeline Rd with easy connectivity.,Top-notch amenities like power backup and gym facility.,Spacious BHK apartments with Vitrified Tiles flooring.,Affordable lifestyle with a range of options available.,Luxurious apartments facing scenic city views in Palava City.,Strategic location near Pipeline Rd with easy connectivity.,Top-notch amenities like power backup and gym facility.,Vitrified Tiles flooring in Master and Other Bedrooms.,Affordable lifestyle with a range of options available.",https://www.squareyards.com/lodha-projects/521/builder,39 Years Experience,36,343,A51800000454,Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings,Gymnasium; Swimming Pool; Tennis Court(s); Football; Cricket; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green,Reading Room/Library; Party Hall; Clubhouse; Indoor Games
r428106,Rishi Ventoso,"Madhyamgram, Kolkata",Rs38.17 Lac - 60.50 Lac,N/A,Mid Stage,"2, 3 BHK",849 Sq. Ft to 1346 Sq. Ft (Saleable),Rishi Buildwell,330 units,3.26 Acres,Ask for Details,Ask for Details,Madhyamgram,North Kolkata,"RERA certified, project compliance ensured, added trust.,Strategically located on Jessore Road, seamless connectivity.,Power backup, ensuring 24/7 convenience and security.,Well-designed amenities, including gym for active lifestyle.,Optimal use of space, rich finishes, and quality construction.",https://www.squareyards.com/rishi-buildwell-projects/3115/builder,12 Years Experience,1,N/A,HIRA/A/NOR/2018/000035,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Ceilings: PoP Design / Punning; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure with infill brick walls,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; Medical Facility; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Large Green Area,Party Hall; Clubhouse; Amphitheater; Indoor Games
r1350,Puri Diplomatic Greens Phase I,"Sector 111, Gurgaon",Rs2.86 Cr - 7.58 Cr,N/A,Ready to Move,"3, 4 BHK",1700 Sq. Ft to 4500 Sq. Ft (Saleable),Puri,460 units,20 Acres,Ask for Details,"May 30, 2016",Sector 111,Dwarka Expressway,,https://www.squareyards.com/puri-projects/90/builder,42 Years Experience,2,12,660/2017/307,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Italian/Imported Marble; Other Bedrooms-Flooring: Italian/Imported Marble; Walls: Acrylic Emulsion; Living Area-Flooring: Italian/Imported Marble; Kitchen-Equipments: Modular Kitchen, Hob, Chimney; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Attached Market; Home Automation; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Cafe / Coffee Bar; Party Hall; Indoor Games; Luxurious Clubhouse
r429184,Nava Vajra,"Horamavu Agara, Bangalore",Rs76.25 Lac - 1.15 Cr,"Rs6,250 Per Sq. Ft",New Launch,"2, 3 BHK",1220 Sq. Ft to 1840 Sq. Ft (Saleable),Nava Jyothi Group,388 units,4.56 Acres,Ask for Details,Ask for Details,Horamavu Agara,North Bangalore,"Strategically located near Hennur Main Road and Inner Ring Road.,24/7 security for a safe and secure living experience.,Enjoy a daily dose of fitness at the fully-equipped gymnasium.,Rainwater harvesting and power backup for a sustainable lifestyle.,Experience luxurious living with vitrified tiles and oil-bound distemper finishes.",https://www.squareyards.com/nava-jyothi-group-projects/20509/builder,N/A,1,2,PRM/KA/RERA/1251/310/AG/171114/000400,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Skating Rink,Power Backup; Solar Heaters; Treated Water Supply; Medical Facility; Day Care Center; Pet Area; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green,Cafe / Coffee Bar; Dance Room; Mini Theatre; Reading Room/Library; Party Hall; Amphitheater; Indoor Games; Conference Room; Luxurious Clubhouse; Senior Citizen Area
r275013,PC Amansara,"Yelahanka, Bangalore",Price on Request,N/A,Ready to Move,Ask for Details,1200 Sq. Ft (Saleable),PC Realty,220 units,14 Acres,Ask for Details,Ask for Details,Yelahanka,North Bangalore,"Spectacular views of Doddaballapur Road, Yelahanka.,Gymnasium for a fit and active lifestyle.,24/7 security features for a secure living.,Easy access to major roads, Yelahanka.,Experience serene living in Yelahanka, Bangalore.",https://www.squareyards.com/pc-realty-projects/15230/builder,N/A,2,N/A,PRM/KA/RERA/1251/310/AG/171114/000400,N/A,Gymnasium; Swimming Pool; Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Jogging / Cycle Track,24*7 Water Supply,24 x 7 Security,Large Green Area,N/A
r418742,Abhee Celestial City,"Sarjapur, Bangalore",Rs1.48 Cr - 2.19 Cr,N/A,Under Construction,"2, 3 BHK",1345 Sq. Ft to 1990 Sq. Ft (Saleable),Abhee Ventures,399 units,4.84 Acres,Ask for Details,Ask for Details,Sarjapur,South Bangalore,"Experience luxury living in Sarjapur, Bangalore.,Strategically located near Sarjapur Road, Varthur Main Road.,Secure and peaceful living with 24 x 7 security.,Pamper yourself with gymnasium, cafe & rainwater harvesting.,Enjoy world-class amenities with contemporary specifications.",https://www.squareyards.com/abhee-ventures-projects/15634/builder,N/A,6,3,PRM/KA/RERA/1251/310/AG/171114/000400,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Squash Court; Football; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Heated Swimming Pool; Rappelling/Rock Climbing,Power Backup; AC Waiting Lobby; Medical Facility; Day Care Center; Guest House; 24*7 Water Supply; Separate Enrty /Exit Gates; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Smoke/Heat Sensors; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Cafe / Coffee Bar; Reading Room/Library; Party Hall; Clubhouse; Amphitheater; Indoor Games; Spa; Obeservatory Deck; Senior Citizen Area
r432515,Sai Green City Ghaziabad,"Atour, Ghaziabad",Price on Request,N/A,Ready to Move,Ask for Details,900 Sq. Ft (Saleable),Ask for Details,Ask for Details,Ask for Details,Ask for Details,Ask for Details,Atour,Ghaziabad City,"Premier location on NH 58, Delhi-Haridwar highway.,Stunning proximity to schools, hospitals, and markets.,Enhanced security with 24x7 eyes on the property.,Funkids play areas and sand pits for happy childhood.,Premier location on NH 58, Delhi-Haridwar highway.,Stunning proximity to schools, hospitals, and markets.,Enhanced security with 24x7 eyes on the property.,Funkids play areas and sand pits for happy childhood.,Green and serene environment within the community.",N/A,N/A,N/A,N/A,UPRERAAGT10119,N/A,Kids' Play Areas / Sand Pits; Yoga Areas,24*7 Water Supply,24 x 7 Security,Normal Park / Central Green,N/A
r431065,DS Max Shresta,"Bellahalli, Bangalore",Rs59.56 Lac - 86.79 Lac,"Rs5,500 Per Sq. Ft",Mid Stage,"2, 3 BHK",1083 Sq. Ft to 1578 Sq. Ft (Saleable),DS MAX Properties Pvt Ltd,281 units,2 Acres,Ask for Details,Ask for Details,Bellahalli,North Bangalore,"Strategically located near Bellary Road and Thanisandra Main Road.,Possesses a RERA certification of PRM/KA/RERA/1251/309/PR/220223/005748.,Offers state-of-the-art amenities like party hall and gymnasium.,Features 24x7 security and power backup for absolute comfort.,Backed by Pioneer Real Estate Developers, known for quality projects.",https://www.squareyards.com/ds-max-properties-pvt-ltd-projects/1816/builder,12 Years Experience,14,119,PRM/KA/RERA/1251/310/AG/171114/000400,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Treated Water Supply; High Speed Elevators; 24*7 Water Supply,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green,Party Hall; Clubhouse; Indoor Games; Senior Citizen Area
r374132,Cybercity West Brook,"Kokapet, Hyderabad",Rs1.04 Cr - 2.14 Cr,"Rs8,000 Per Sq. Ft",Under Construction,"2, 3 BHK",1075 Sq. Ft to 2210 Sq. Ft (Saleable),Cybercity Builders,1102 units,7.8 Acres,Ask for Details,Ask for Details,Kokapet,West Zone,,https://www.squareyards.com/cybercity-builders-projects/12027/builder,N/A,4,5,REA02400000010,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Double Bowl Sink; Bathroom: Premium Bath Fittings, Exhaust Fan; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Golf Simulator,Power Backup; Attached Market; Treated Water Supply; Medical Facility; Day Care Center; 24*7 Water Supply; Separate Enrty /Exit Gates; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Large Green Area; IGBC Certified Building,Cafe / Coffee Bar; Party Hall; Clubhouse; Amphitheater; Indoor Games; Spa; Food Court
r30998,The Presidential Tower,"Yeshwanthpur, Bangalore",Rs2.43 Cr - 4.66 Cr,"Rs7,130 Per Sq. Ft",Ready to Move,"3, 4 BHK",1595 Sq. Ft to 3055 Sq. Ft (Saleable),Golden CNTC,368 units,5 Acres,Ask for Details,"Jun 30, 2021",Yeshwanthpur,Central Bangalore,"Strategically located near Outer Ring Road and Tumkur Road.,RERA certified with certified PRM/KA/RERA/1251/309/PR/171014/000565.,Enjoy luxurious living with power backup convenience.,Spacious Master Bedroom with oil bound distemper walls.,Italian/Imported Marble flooring in Master Bedroom.",https://www.squareyards.com/golden-cntc-projects/2783/builder,N/A,1,N/A,PRM/KA/RERA/1251/310/AG/171114/000400,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Golf Simulator,Power Backup; Treated Water Supply; High Speed Elevators; 24*7 Water Supply; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Large Green Area,Cafe / Coffee Bar; Dance Room; Mini Theatre; Party Hall; Amphitheater; Indoor Games; Spa; Jacuzzi; Obeservatory Deck
r430204,Casagrand Avenue Park,"Perungudi, Chennai",Price on Request,N/A,New Launch,"2, 3, 4 BHK",1306 Sq. Ft to 2939 Sq. Ft (Saleable),Casagrand,209 units,4.01 Acres,Ask for Details,Ask for Details,Perungudi,Chennai South,N/A,https://www.squareyards.com/casagrand-projects/9761/builder,N/A,25,131,Delhi/Agent/0027/2017,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits; Yoga Areas,Power Backup; 24*7 Water Supply,24 x 7 Security; CCTV / Video Surveillance,Normal Park / Central Green,Indoor Games
r427647,Kohinoor Riverdale,"Kharadi, Pune",Rs93.00 Lac - 1.30 Cr,N/A,Under Construction,"2, 3 BHK",696 Sq. Ft to 989 Sq. Ft (Carpet),Kohinoor Group,1076 units,5 Acres,Ask for Details,Ask for Details,Kharadi,Pune East,"Experience luxury living amidst 2.5 acres of lush green surroundings.,Unbeatable connectivity to major highways, just minutes away!,State-of-the-art amenities for a comfortable and convenient lifestyle.,Luxurious apartments with premium finishes and attention to detail.,Relish a stress-free living experience with reliable power backup and 24/7 security.,Step into a world of tranquility, amidst the bustling city of Pune.",https://www.squareyards.com/kohinoor-group-projects/1175/builder,36 Years Experience,16,40,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; 24*7 Water Supply; Separate Enrty /Exit Gates; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Party Hall; Clubhouse; Indoor Games
r273337,Ashiana Town,"Sector 39, Bhiwadi",Rs38.03 Lac - 52.77 Lac,N/A,Ready to Move,"2, 3 BHK",829 Sq. Ft to 1128 Sq. Ft (Carpet),Ashiana,1176 units,16 Acres,Ask for Details,Ask for Details,Sector 39,Bhiwadi Central,,https://www.squareyards.com/ashiana-projects/17/builder,40 Years Experience,7,39,N/A,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Fittings & Fixtures: Air Conditioner Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; PNG; Treated Water Supply; High Speed Elevators,24 x 7 Security; Intercom Facility,Sewage Treatment Plant; Large Green Area,Clubhouse
r409851,VNR Hywinds,"Vanagaram, Chennai",Rs63.67 Lac - 95.47 Lac,N/A,New Launch,"2, 3 BHK",1009 Sq. Ft to 1513 Sq. Ft (Saleable),VNR Homes,90 units,1.3 Acres,Ask for Details,Ask for Details,Vanagaram,Chennai West,"VNR Hywinds: Unbeatable connectivity to Chennai Bangalore Highway & Expressway,Discover the perfect blend of luxury & convenience at VNR Hywinds,VNR Hywinds: Your haven with reliable power backup & modern amenities,Elevate your lifestyle with spacious master bedrooms at VNR Hywinds,VNR Hywinds: Offers premium housing with Oil Bound Distemper finishing,Experience the epitome of comfort with Vitrified Tiles flooring at VNR Hywinds",https://www.squareyards.com/vnr-homes-projects/21325/builder,N/A,1,2,Delhi/Agent/0027/2017,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance,Normal Park / Central Green,Mini Theatre; Party Hall; Indoor Games; Senior Citizen Area
r416824,Nysa Skydale,"Chhani, Vadodara",Price on Request,N/A,Ready to Move,"2, 3 BHK",1430 Sq. Ft to 2500 Sq. Ft (Saleable),Ask for Details,400 units,5.05 Acres,Ask for Details,Ask for Details,Ask for Details,Ask for Details,,N/A,N/A,N/A,N/A,N/A,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Skating Rink,Restaurant; Treated Water Supply; Party Lawn,24 x 7 Security; CCTV / Video Surveillance,N/A,Reading Room/Library; Party Hall; Clubhouse; Amphitheater; Indoor Games
r391991,Theme Imperial,"Attapur, Hyderabad",Rs1.10 Cr - 1.99 Cr,"Rs7,499 Per Sq. Ft",Under Construction,"2, 3, 4 BHK",1470 Sq. Ft to 2655 Sq. Ft (Saleable),Theme Ambience Constructions,293 units,2.25 Acres,Ask for Details,Ask for Details,Attapur,South Zone,,https://www.squareyards.com/theme-ambience-constructions-projects/3247/builder,15 Years Experience,10,N/A,REA02400000010,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Gazebo,Power Backup; Treated Water Supply; Pet Area; Guest House; 24*7 Water Supply; Separate Enrty /Exit Gates; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Cafe / Coffee Bar; Reading Room/Library; Party Hall; Clubhouse; Indoor Games; Conference Room
r389235,Vajra The Royal Park,"Bowrampet, Hyderabad",Rs58.49 Lac - 83.73 Lac,"Rs4,999 Per Sq. Ft",Under Construction,"2, 3 BHK",1170 Sq. Ft to 1675 Sq. Ft (Saleable),Vajra Builders,760 units,6 Acres,Ask for Details,Ask for Details,Bowrampet,West Zone,,https://www.squareyards.com/vajra-builders-projects/10487/builder,N/A,3,N/A,REA02400000010,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security,Sewage Treatment Plant; Normal Park / Central Green,Party Hall; Clubhouse; Indoor Games
r328265,Today Global Anandam,"Kharghar, Navi Mumbai",Rs78.18 Lac - 1.06 Cr,"Rs12,641 Per Sq. Ft",Under Construction,"1, 2 BHK",430 Sq. Ft to 645 Sq. Ft (Carpet),Today Global Builders,1378 units,5 Acres,Ask for Details,"Aug 03, 2019",Kharghar,CBD Belapur,"Introducing Today Global Anandam, Kharghar premier residential destination,Strategically located near Sion Panvel Highway, Panvel Uran Road,Experience luxury living amidst world-class amenities and convenience,Enjoy power backup facilities for a trouble-free living experience,Pose the perfect blend of style and functionality with acrylic emulsion walls,Choose from thoughtfully designed 1BHK and 2BHK apartments, starting at 430 sq ft,Stay updated with all the latest RERA-approved projects, P52000020292, P52000021559, P52000048037",https://www.squareyards.com/today-global-builders-projects/3167/builder,N/A,1,16,A51800000454,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Solar Heaters; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area,Mini Theatre; Reading Room/Library; Sauna; Party Hall; Clubhouse; Amphitheater; Indoor Games; Conference Room; Spa; Luxurious Clubhouse
r423234,Godrej Park World,"Hinjewadi, Pune",Rs81.49 Lac - 1.75 Cr,N/A,New Launch,"1, 2, 3 BHK",386 Sq. Ft to 1248 Sq. Ft (Carpet),Godrej,1402 units,100 Acres,Ask for Details,Ask for Details,Hinjewadi,Pune West,,https://www.squareyards.com/godrej-projects/49/builder,29 Years Experience,51,160,A51800000454,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Fittings & Fixtures: Split Air Conditioner; Kitchen-Equipments: Modular Kitchen, Hob, Chimney, Refrigrator; Bathroom: Shower Panel, Premium Bath Fittings, Wardrobes; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink,Power Backup; Treated Water Supply; High Speed Elevators; 24*7 Water Supply; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Cafe / Coffee Bar; Sauna; Amphitheater; Indoor Games; Spa; Luxurious Clubhouse; Multi Brand Retail; Food Court; Senior Citizen Area
r380681,Lodha Woods,"Kandivali East, Mumbai",Rs2.12 Cr - 4.91 Cr,"Rs28,135 Per Sq. Ft",Under Construction,"2, 3, 4 BHK",653 Sq. Ft to 1511 Sq. Ft (Carpet),Lodha,1060 units,5 Acres,Ask for Details,Ask for Details,Kandivali East,Mumbai Western Suburbs,,https://www.squareyards.com/lodha-projects/521/builder,39 Years Experience,36,343,A51800000454,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Italian/Imported Marble; Kitchen-Equipments: Hob, Double Bowl Sink; Bathroom: Shower Panel, Premium Bath Fittings, Exhaust Fan; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Football; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis,Power Backup; Treated Water Supply; Pet Area; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Cafe / Coffee Bar; Massage Room; Reading Room/Library; Party Hall; Cards Room; Clubhouse; Indoor Games; Conference Room; Spa
r420375,Sri Sai Basera,"Krishna Nagar, Lucknow",Price on Request,N/A,Ready to Move,2 BHK,935 Sq. Ft to 1225 Sq. Ft (Carpet),Sri Sai Infra Developers,Ask for Details,Ask for Details,Ask for Details,Ask for Details,Krishna Nagar,Lucknow South,"Strategically located near Kanpur Road in Krishna Nagar.,Spacious apartments with acrylic emulsion walls.,Enjoy power backup for a seamless living experience.,Equipped with a state-of-the-art gymnasium for fitness enthusiasts.,A picturesque living amidst vibrant city surroundings.",https://www.squareyards.com/sri-sai-infra-developers-projects/4197/builder,N/A,1,3,UPRERAAGT10119,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Structure: RCC Frame Structure,Gymnasium; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Treated Water Supply; 24*7 Water Supply,24 x 7 Security; CCTV / Video Surveillance,Rain Water Harvesting,N/A
