XID,Data Point,Housing,MagicBricks,SquareYards
10412,Builder Experience,,31+ years,25 Years Experience
10412,Total Towers,,,
10412,Rera Number,,,UPRERAAGT10119
10412,Name,,Purvanchal Royal City,Purvanchal Royal City
10412,Location,,"Chi 5, Greater Noida","GN Sector Chi V, Greater Noida"
10412,Builder Name,,Purvanchal Projects Pvt. Ltd.,Purvanchal
10412,Price Range,,,Rs1.70 Cr - 5.05 Cr
10412,Price per Sq.Ft,,Rs 7798,
10412,BHK,,"3,4 BHK Flats","3, 4, 5 BHK"
10412,Property Type,,,
10412,Project Status,,,Ready to Move
10412,Launch Date,,,Ask for Details
10412,Possession Date,,,"Dec 15, 2019"
10412,Total Units,,1072.0,2686 units
10412,Project Size (Acres),,9 Acre,22 Acres
10412,Amenities Count,,26,
10412,USP,,"No Extra Charges for the External Electrification Charges | No Extra Charges for the Club Membership | No Extra Charges for any Lease Rent | No Extra Charges for Fire Fighting Charges | No Extra Charges for Power Backup (upto 3 KVA) | Lush green environment | Very good connectivity with schools and offices | Great network with shopping complexes and other markets | Dual Olympic-sized swimming pools for aquatic enjoyment | Boasts one of the largest residential clubs in NCR | Exclusive private miniplex | 22-month maintenance included | Close to Upcoming Jewar Airport and Expo Mart | Well-connected to different areas of Delhi NCR | Hassle-free & timely possession. | Kids foundation pre-primary school. | One of the biggest residential clubs in NCR. | Fully equipped health zone & senior citizen area. | Villament living experience tailored to perfection. | In proximity to Expo Mart & Upcoming Jewar Airport. | Seamless connectivity to various locations of Delhi NCR. | Nearby to reputed schools, hospitals, malls, and universities.",
10412,Builder Experience,,31+ years,25 Years Experience
10412,Total Towers,,,
10412,Rera Number,,,UPRERAAGT10119
12900,Name,Fusion Homes,Fusion Homes,Fusion Homes
12900,Location,"GH 05A, Tech Zone 4, Greater Noida","Noida Extension, Noida","Tech Zone 4 Greater Noida, Greater Noida"
12900,Builder Name,FUSION BUILDTECH PVT LTD,Fusion Buildtech Pvt. Ltd.,Fusion Buildtech
12900,Price Range,72.69 L - 1.78 Cr,,Rs64.75 Lac - 1.43 Cr
12900,Price per Sq.Ft,,Rs 7359,
12900,BHK,"2, 2.5, 3, 4, 4.5 BHK Apartments","3,4 BHK Flats","2, 3, 4 BHK"
12900,Property Type,,,
12900,Project Status,,,Ready to Move
12900,Launch Date,"Mar, 2010 Avg. Price: 8.19 K/sq.ft",,Ask for Details
12900,Possession Date,0,,"Dec 30, 2017"
12900,Total Units,,870.0,1604 units
12900,Project Size (Acres),9 Acres (80% open),9 Acre,8.9 Acres
12900,Amenities Count,,0,
12900,USP,"Why Fusion Homes? Anand Hospital is just 4.3 kms away. Mount Shivalik Public School is only 2.46 kms away Eco-friendly surroundings, luxurious properties Vastu compliant and eco-friendly with solar energy utilization Green home design and construction with platinum rating target View More Highlights","5 Min Drive from Noida Sec-78 Metro Station | Fusion Round About Bus Stop 0.6 Km | Opp. To proposed Metro Station | Homeopathic Medical Center 3.6 Km | Sarvottam International School 2.2 Km | Opp. To Ryan International School | USP:
Walking distance from proposed Metro Station | Vastu compliant and eco-friendly with solar energy utilization | Green home design and construction with platinum rating target | High street shopping arcade within the complex | Approx. 7,000 sq. ft. Food Court | Three sides open with a green view in most units | Five-star hotels & sports stadium in the vicinity | Good transportation. | This Project is Near To noida Metro station. | Nearby schools 
Ryan International School | Sarvottam International School | Lotus Valley | Pacific World School. etc. | Pre certified IGBC green homes | Strategic location near upcoming metro station | Ash bricks for sustainable future fly construction | Refreshing Cross Ventilation from Three-Side Open Layout | LED Lighting for 70% Electricity Reduction | Well-connected to NH-24 | Pre certified IGBC green homes | Strategic location near upcoming metro station | Ash bricks for sustainable future fly construction | Refreshing Cross Ventilation from Three-Side Open Layout | LED Lighting for 70% Electricity Reduction | Well-connected to NH-24",
12900,Builder Experience,,15+ years,
12900,Total Towers,,,
12900,Rera Number,UPRERAPRJ3302,,UPRERAAGT10119
15378,Name,Unique Youtopia Phase II,Solitairian City,Le Solitairian City
15378,Location,By UNIQUE PROPERTIES,"Yamuna Expressway, Greater Noida","Sector 25 Yamuna Expressway, Greater Noida"
15378,Builder Name,Not Found,Solitaire Realinfra Private Limited,Le Solitairian
15378,Price Range,47.58 L - 80.81 L,3.95 Cr,Rs46.09 Lac - 3.26 Cr
15378,Price per Sq.Ft,,Rs 7519,"Rs7,495 Per Sq. Ft"
15378,BHK,"1, 2 BHK Apartments","1,2,3,4,5 BHK Flat, Villas","1, 2, 3, 4 BHK"
15378,Property Type,,"Flat, Villa",
15378,Project Status,,Under Construction,Partially Ready To Move
15378,Launch Date,"Jul, 2022 Avg. Price: 12.23 K - 16.13 K/sq.ft",1-Jun-22,Ask for Details
15378,Possession Date,"Jun, 2026",1-Jul-24,21-Sep-19
15378,Total Units,,2400.0,2400 units
15378,Project Size (Acres),0.11 Acres,16 Acre,16.54 Acres
15378,Amenities Count,,36,
15378,USP,Not Found,"Golf Course Facing Project | All Units 3 Side Open | Low Density Project | Every Flat Is A Corner Flat | Sports Theme Based Project | Rera Approved | Well Ventilated And Spacious Apartments | Luxury Club With All Modern Amenities | Only 4 Flats On A Floor | Jewar International Airport- Perfect airport connectivity 10 Mins Drive From Airport. | Education Hub-Nearby Techzones, Education Centers School & commercial tower for everyone needs | Buddha International Circuit- Next to Address which is the host for international events. | Metro Station- Easy access to nearby cities like Delhi Purposed Metro is in 5 km Radious | Superior connectivity via Yamuna Expressway, Eastern Peripheral Expressway | Proposed Metro Station Nearby, Convenient Access to Jewar Airport | Close to Business and Leisure Destinations | Day-today living amenities and infrastructure like offices, schools and healthcare located within 10 minutes | Strategically located just off the state-of-the-art Yamuna Expressway | In-close proximity with ICC Cricket Stadium, Night Safari, Golf course, Top-Notch, Universities","Strategically located near Eastern Peripheral Expressway, Yamuna Expressway.,Approved by UP RERA, project numbers UPRERAPRJ6887, UPRERAPRJ6811.,Power Backup ensures a seamless luxurious lifestyle.,Well-equipped Gymnasium for a healthy and active living.,Modular kitchens and Vitrified Tiles flooring for a luxurious experience."
15378,Builder Experience,,15+ years,25 Years Experience
15378,Total Towers,,13,
15378,Rera Number,P52100046003,,UPRERAAGT10119
15378,Name,Unique Youtopia Phase II,Solitairian City,Solitairian City Villas
15378,Location,By UNIQUE PROPERTIES,"Yamuna Expressway, Greater Noida","Sector 140A, Noida"
15378,Builder Name,Not Found,Solitaire Realinfra Private Limited,Le Solitairian
15378,Price Range,47.58 L - 80.81 L,3.95 Cr,Price on Request
15378,Price per Sq.Ft,,Rs 7519,
15378,BHK,"1, 2 BHK Apartments","1,2,3,4,5 BHK Flat, Villas",3 BHK
15378,Property Type,,"Flat, Villa",
15378,Project Status,,Under Construction,Mid Stage
15378,Launch Date,"Jul, 2022 Avg. Price: 12.23 K - 16.13 K/sq.ft",1-Jun-22,Ask for Details
15378,Possession Date,"Jun, 2026",1-Jul-24,Ask for Details
15378,Total Units,,2400.0,Ask for Details
15378,Project Size (Acres),0.11 Acres,16 Acre,Ask for Details
15378,Amenities Count,,36,
15378,USP,Not Found,"Golf Course Facing Project | All Units 3 Side Open | Low Density Project | Every Flat Is A Corner Flat | Sports Theme Based Project | Rera Approved | Well Ventilated And Spacious Apartments | Luxury Club With All Modern Amenities | Only 4 Flats On A Floor | Jewar International Airport- Perfect airport connectivity 10 Mins Drive From Airport. | Education Hub-Nearby Techzones, Education Centers School & commercial tower for everyone needs | Buddha International Circuit- Next to Address which is the host for international events. | Metro Station- Easy access to nearby cities like Delhi Purposed Metro is in 5 km Radious | Superior connectivity via Yamuna Expressway, Eastern Peripheral Expressway | Proposed Metro Station Nearby, Convenient Access to Jewar Airport | Close to Business and Leisure Destinations | Day-today living amenities and infrastructure like offices, schools and healthcare located within 10 minutes | Strategically located just off the state-of-the-art Yamuna Expressway | In-close proximity with ICC Cricket Stadium, Night Safari, Golf course, Top-Notch, Universities","Unwind in nature-rich surroundings, Sector 140A.,Elegant villas with scenic views, perfect retreat.,Prime location connects to major highways, convenient.,Ample space for luxury living, from 2400 sq. ft.,Unwind in nature-rich surroundings, Sector 140A.,Elegant villas with scenic views, perfect retreat.,Prime location connects to major highways, convenient.,Ample space for luxury living, from 2400 sq. ft."
15378,Builder Experience,,15+ years,25 Years Experience
15378,Total Towers,,13,
15378,Rera Number,P52100046003,,UPRERAAGT10119
15378,Name,Unique Youtopia Phase II,Solitairian City,Le Solitairian City
15378,Location,By UNIQUE PROPERTIES,"Yamuna Expressway, Greater Noida","Sector 25 Yamuna Expressway, Greater Noida"
15378,Builder Name,Not Found,Solitaire Realinfra Private Limited,Le Solitairian
15378,Price Range,47.58 L - 80.81 L,3.95 Cr,Rs46.09 Lac - 3.26 Cr
15378,Price per Sq.Ft,,Rs 7519,"Rs7,495 Per Sq. Ft"
15378,BHK,"1, 2 BHK Apartments","1,2,3,4,5 BHK Flat, Villas","1, 2, 3, 4 BHK"
15378,Property Type,,"Flat, Villa",
15378,Project Status,,Under Construction,Partially Ready To Move
15378,Launch Date,"Jul, 2022 Avg. Price: 12.23 K - 16.13 K/sq.ft",1-Jun-22,Ask for Details
15378,Possession Date,"Jun, 2026",1-Jul-24,"Sep 21, 2019"
15378,Total Units,,2400.0,2400 units
15378,Project Size (Acres),0.11 Acres,16 Acre,16.54 Acres
15378,Amenities Count,,36,
15378,USP,Not Found,"Golf Course Facing Project | All Units 3 Side Open | Low Density Project | Every Flat Is A Corner Flat | Sports Theme Based Project | Rera Approved | Well Ventilated And Spacious Apartments | Luxury Club With All Modern Amenities | Only 4 Flats On A Floor | Jewar International Airport- Perfect airport connectivity 10 Mins Drive From Airport. | Education Hub-Nearby Techzones, Education Centers School & commercial tower for everyone needs | Buddha International Circuit- Next to Address which is the host for international events. | Metro Station- Easy access to nearby cities like Delhi Purposed Metro is in 5 km Radious | Superior connectivity via Yamuna Expressway, Eastern Peripheral Expressway | Proposed Metro Station Nearby, Convenient Access to Jewar Airport | Close to Business and Leisure Destinations | Day-today living amenities and infrastructure like offices, schools and healthcare located within 10 minutes | Strategically located just off the state-of-the-art Yamuna Expressway | In-close proximity with ICC Cricket Stadium, Night Safari, Golf course, Top-Notch, Universities","Strategically located near Eastern Peripheral Expressway, Yamuna Expressway.,Approved by UP RERA, project numbers UPRERAPRJ6887, UPRERAPRJ6811.,Power Backup ensures a seamless luxurious lifestyle.,Well-equipped Gymnasium for a healthy and active living.,Modular kitchens and Vitrified Tiles flooring for a luxurious experience."
15378,Builder Experience,,15+ years,25 Years Experience
15378,Total Towers,,13,
15378,Rera Number,P52100046003,,UPRERAAGT10119
15378,Name,Unique Youtopia Phase II,Solitairian City,Solitairian City Villas
15378,Location,By UNIQUE PROPERTIES,"Yamuna Expressway, Greater Noida","Sector 140A, Noida"
15378,Builder Name,Not Found,Solitaire Realinfra Private Limited,Le Solitairian
15378,Price Range,47.58 L - 80.81 L,3.95 Cr,Price on Request
15378,Price per Sq.Ft,,Rs 7519,
15378,BHK,"1, 2 BHK Apartments","1,2,3,4,5 BHK Flat, Villas",3 BHK
15378,Property Type,,"Flat, Villa",
15378,Project Status,,Under Construction,Mid Stage
15378,Launch Date,"Jul, 2022 Avg. Price: 12.23 K - 16.13 K/sq.ft",1-Jun-22,Ask for Details
15378,Possession Date,"Jun, 2026",1-Jul-24,Ask for Details
15378,Total Units,,2400.0,Ask for Details
15378,Project Size (Acres),0.11 Acres,16 Acre,Ask for Details
15378,Amenities Count,,36,
15378,USP,Not Found,"Golf Course Facing Project | All Units 3 Side Open | Low Density Project | Every Flat Is A Corner Flat | Sports Theme Based Project | Rera Approved | Well Ventilated And Spacious Apartments | Luxury Club With All Modern Amenities | Only 4 Flats On A Floor | Jewar International Airport- Perfect airport connectivity 10 Mins Drive From Airport. | Education Hub-Nearby Techzones, Education Centers School & commercial tower for everyone needs | Buddha International Circuit- Next to Address which is the host for international events. | Metro Station- Easy access to nearby cities like Delhi Purposed Metro is in 5 km Radious | Superior connectivity via Yamuna Expressway, Eastern Peripheral Expressway | Proposed Metro Station Nearby, Convenient Access to Jewar Airport | Close to Business and Leisure Destinations | Day-today living amenities and infrastructure like offices, schools and healthcare located within 10 minutes | Strategically located just off the state-of-the-art Yamuna Expressway | In-close proximity with ICC Cricket Stadium, Night Safari, Golf course, Top-Notch, Universities","Unwind in nature-rich surroundings, Sector 140A.,Elegant villas with scenic views, perfect retreat.,Prime location connects to major highways, convenient.,Ample space for luxury living, from 2400 sq. ft.,Unwind in nature-rich surroundings, Sector 140A.,Elegant villas with scenic views, perfect retreat.,Prime location connects to major highways, convenient.,Ample space for luxury living, from 2400 sq. ft."
15378,Builder Experience,,15+ years,25 Years Experience
15378,Total Towers,,13,
15378,Rera Number,P52100046003,,UPRERAAGT10119
15378,Name,Unique Youtopia Phase II,Solitairian City,Le Solitairian City
15378,Location,By UNIQUE PROPERTIES,"Yamuna Expressway, Greater Noida","Sector 25 Yamuna Expressway, Greater Noida"
15378,Builder Name,Not Found,Solitaire Realinfra Private Limited,Le Solitairian
15378,Price Range,47.58 L - 80.81 L,,Rs46.09 Lac - 3.26 Cr
15378,Price per Sq.Ft,,Rs 7519,"Rs7,495 Per Sq. Ft"
15378,BHK,"1, 2 BHK Apartments","1,2,3,4,5 BHK Flat, Villas","1, 2, 3, 4 BHK"
15378,Property Type,,,
15378,Project Status,,,Partially Ready To Move
15378,Launch Date,"Jul, 2022 Avg. Price: 12.23 K - 16.13 K/sq.ft",,Ask for Details
15378,Possession Date,"Jun, 2026",,21-Sep-19
15378,Total Units,,2400.0,2400 units
15378,Project Size (Acres),0.11 Acres,16 Acre,16.54 Acres
15378,Amenities Count,,36,
15378,USP,Not Found,"Golf Course Facing Project | All Units 3 Side Open | Low Density Project | Every Flat Is A Corner Flat | Sports Theme Based Project | Rera Approved | Well Ventilated And Spacious Apartments | Luxury Club With All Modern Amenities | Only 4 Flats On A Floor | Jewar International Airport- Perfect airport connectivity 10 Mins Drive From Airport. | Education Hub-Nearby Techzones, Education Centers School & commercial tower for everyone needs | Buddha International Circuit- Next to Address which is the host for international events. | Metro Station- Easy access to nearby cities like Delhi Purposed Metro is in 5 km Radious | Superior connectivity via Yamuna Expressway, Eastern Peripheral Expressway | Proposed Metro Station Nearby, Convenient Access to Jewar Airport | Close to Business and Leisure Destinations | Day-today living amenities and infrastructure like offices, schools and healthcare located within 10 minutes | Strategically located just off the state-of-the-art Yamuna Expressway | In-close proximity with ICC Cricket Stadium, Night Safari, Golf course, Top-Notch, Universities","Strategically located near Eastern Peripheral Expressway, Yamuna Expressway.,Approved by UP RERA, project numbers UPRERAPRJ6887, UPRERAPRJ6811.,Power Backup ensures a seamless luxurious lifestyle.,Well-equipped Gymnasium for a healthy and active living.,Modular kitchens and Vitrified Tiles flooring for a luxurious experience."
15378,Builder Experience,,15+ years,25 Years Experience
15378,Total Towers,,,
15378,Rera Number,P52100046003,,UPRERAAGT10119
15378,Name,Unique Youtopia Phase II,Solitairian City,Solitairian City Villas
15378,Location,By UNIQUE PROPERTIES,"Yamuna Expressway, Greater Noida","Sector 140A, Noida"
15378,Builder Name,Not Found,Solitaire Realinfra Private Limited,Le Solitairian
15378,Price Range,47.58 L - 80.81 L,,Price on Request
15378,Price per Sq.Ft,,Rs 7519,
15378,BHK,"1, 2 BHK Apartments","1,2,3,4,5 BHK Flat, Villas",3 BHK
15378,Property Type,,,
15378,Project Status,,,Mid Stage
15378,Launch Date,"Jul, 2022 Avg. Price: 12.23 K - 16.13 K/sq.ft",,Ask for Details
15378,Possession Date,"Jun, 2026",,Ask for Details
15378,Total Units,,2400.0,Ask for Details
15378,Project Size (Acres),0.11 Acres,16 Acre,Ask for Details
15378,Amenities Count,,36,
15378,USP,Not Found,"Golf Course Facing Project | All Units 3 Side Open | Low Density Project | Every Flat Is A Corner Flat | Sports Theme Based Project | Rera Approved | Well Ventilated And Spacious Apartments | Luxury Club With All Modern Amenities | Only 4 Flats On A Floor | Jewar International Airport- Perfect airport connectivity 10 Mins Drive From Airport. | Education Hub-Nearby Techzones, Education Centers School & commercial tower for everyone needs | Buddha International Circuit- Next to Address which is the host for international events. | Metro Station- Easy access to nearby cities like Delhi Purposed Metro is in 5 km Radious | Superior connectivity via Yamuna Expressway, Eastern Peripheral Expressway | Proposed Metro Station Nearby, Convenient Access to Jewar Airport | Close to Business and Leisure Destinations | Day-today living amenities and infrastructure like offices, schools and healthcare located within 10 minutes | Strategically located just off the state-of-the-art Yamuna Expressway | In-close proximity with ICC Cricket Stadium, Night Safari, Golf course, Top-Notch, Universities","Unwind in nature-rich surroundings, Sector 140A.,Elegant villas with scenic views, perfect retreat.,Prime location connects to major highways, convenient.,Ample space for luxury living, from 2400 sq. ft.,Unwind in nature-rich surroundings, Sector 140A.,Elegant villas with scenic views, perfect retreat.,Prime location connects to major highways, convenient.,Ample space for luxury living, from 2400 sq. ft."
15378,Builder Experience,,15+ years,25 Years Experience
15378,Total Towers,,,
15378,Rera Number,P52100046003,,UPRERAAGT10119
15378,Name,Unique Youtopia Phase II,Solitairian City,Le Solitairian City
15378,Location,By UNIQUE PROPERTIES,"Yamuna Expressway, Greater Noida","Sector 25 Yamuna Expressway, Greater Noida"
15378,Builder Name,Not Found,Solitaire Realinfra Private Limited,Le Solitairian
15378,Price Range,47.58 L - 80.81 L,,Rs46.09 Lac - 3.26 Cr
15378,Price per Sq.Ft,,Rs 7519,"Rs7,495 Per Sq. Ft"
15378,BHK,"1, 2 BHK Apartments","1,2,3,4,5 BHK Flat, Villas","1, 2, 3, 4 BHK"
15378,Property Type,,,
15378,Project Status,,,Partially Ready To Move
15378,Launch Date,"Jul, 2022 Avg. Price: 12.23 K - 16.13 K/sq.ft",,Ask for Details
15378,Possession Date,"Jun, 2026",,"Sep 21, 2019"
15378,Total Units,,2400.0,2400 units
15378,Project Size (Acres),0.11 Acres,16 Acre,16.54 Acres
15378,Amenities Count,,36,
15378,USP,Not Found,"Golf Course Facing Project | All Units 3 Side Open | Low Density Project | Every Flat Is A Corner Flat | Sports Theme Based Project | Rera Approved | Well Ventilated And Spacious Apartments | Luxury Club With All Modern Amenities | Only 4 Flats On A Floor | Jewar International Airport- Perfect airport connectivity 10 Mins Drive From Airport. | Education Hub-Nearby Techzones, Education Centers School & commercial tower for everyone needs | Buddha International Circuit- Next to Address which is the host for international events. | Metro Station- Easy access to nearby cities like Delhi Purposed Metro is in 5 km Radious | Superior connectivity via Yamuna Expressway, Eastern Peripheral Expressway | Proposed Metro Station Nearby, Convenient Access to Jewar Airport | Close to Business and Leisure Destinations | Day-today living amenities and infrastructure like offices, schools and healthcare located within 10 minutes | Strategically located just off the state-of-the-art Yamuna Expressway | In-close proximity with ICC Cricket Stadium, Night Safari, Golf course, Top-Notch, Universities","Strategically located near Eastern Peripheral Expressway, Yamuna Expressway.,Approved by UP RERA, project numbers UPRERAPRJ6887, UPRERAPRJ6811.,Power Backup ensures a seamless luxurious lifestyle.,Well-equipped Gymnasium for a healthy and active living.,Modular kitchens and Vitrified Tiles flooring for a luxurious experience."
15378,Builder Experience,,15+ years,25 Years Experience
15378,Total Towers,,,
15378,Rera Number,P52100046003,,UPRERAAGT10119
15378,Name,Unique Youtopia Phase II,Solitairian City,Solitairian City Villas
15378,Location,By UNIQUE PROPERTIES,"Yamuna Expressway, Greater Noida","Sector 140A, Noida"
15378,Builder Name,Not Found,Solitaire Realinfra Private Limited,Le Solitairian
15378,Price Range,47.58 L - 80.81 L,,Price on Request
15378,Price per Sq.Ft,,Rs 7519,
15378,BHK,"1, 2 BHK Apartments","1,2,3,4,5 BHK Flat, Villas",3 BHK
15378,Property Type,,,
15378,Project Status,,,Mid Stage
15378,Launch Date,"Jul, 2022 Avg. Price: 12.23 K - 16.13 K/sq.ft",,Ask for Details
15378,Possession Date,"Jun, 2026",,Ask for Details
15378,Total Units,,2400.0,Ask for Details
15378,Project Size (Acres),0.11 Acres,16 Acre,Ask for Details
15378,Amenities Count,,36,
15378,USP,Not Found,"Golf Course Facing Project | All Units 3 Side Open | Low Density Project | Every Flat Is A Corner Flat | Sports Theme Based Project | Rera Approved | Well Ventilated And Spacious Apartments | Luxury Club With All Modern Amenities | Only 4 Flats On A Floor | Jewar International Airport- Perfect airport connectivity 10 Mins Drive From Airport. | Education Hub-Nearby Techzones, Education Centers School & commercial tower for everyone needs | Buddha International Circuit- Next to Address which is the host for international events. | Metro Station- Easy access to nearby cities like Delhi Purposed Metro is in 5 km Radious | Superior connectivity via Yamuna Expressway, Eastern Peripheral Expressway | Proposed Metro Station Nearby, Convenient Access to Jewar Airport | Close to Business and Leisure Destinations | Day-today living amenities and infrastructure like offices, schools and healthcare located within 10 minutes | Strategically located just off the state-of-the-art Yamuna Expressway | In-close proximity with ICC Cricket Stadium, Night Safari, Golf course, Top-Notch, Universities","Unwind in nature-rich surroundings, Sector 140A.,Elegant villas with scenic views, perfect retreat.,Prime location connects to major highways, convenient.,Ample space for luxury living, from 2400 sq. ft.,Unwind in nature-rich surroundings, Sector 140A.,Elegant villas with scenic views, perfect retreat.,Prime location connects to major highways, convenient.,Ample space for luxury living, from 2400 sq. ft."
15378,Builder Experience,,15+ years,25 Years Experience
15378,Total Towers,,,
15378,Rera Number,P52100046003,,UPRERAAGT10119
15378,Name,Unique Youtopia Phase II,Solitairian City,Le Solitairian City
15378,Location,By UNIQUE PROPERTIES,"Yamuna Expressway, Greater Noida","Sector 25 Yamuna Expressway, Greater Noida"
15378,Builder Name,Not Found,Solitaire Realinfra Private Limited,Le Solitairian
15378,Price Range,47.58 L - 80.81 L,3.95 Cr,Rs46.09 Lac - 3.26 Cr
15378,Price per Sq.Ft,,Rs 7519,"Rs7,495 Per Sq. Ft"
15378,BHK,"1, 2 BHK Apartments","1,2,3,4,5 BHK Flat, Villas","1, 2, 3, 4 BHK"
15378,Property Type,,"Flat, Villa",
15378,Project Status,,Under Construction,Partially Ready To Move
15378,Launch Date,"Jul, 2022 Avg. Price: 12.23 K - 16.13 K/sq.ft",1-Jun-22,Ask for Details
15378,Possession Date,"Jun, 2026",1-Jul-24,21-Sep-19
15378,Total Units,,2400.0,2400 units
15378,Project Size (Acres),0.11 Acres,16 Acre,16.54 Acres
15378,Amenities Count,,36,
15378,USP,Not Found,"Golf Course Facing Project | All Units 3 Side Open | Low Density Project | Every Flat Is A Corner Flat | Sports Theme Based Project | Rera Approved | Well Ventilated And Spacious Apartments | Luxury Club With All Modern Amenities | Only 4 Flats On A Floor | Jewar International Airport- Perfect airport connectivity 10 Mins Drive From Airport. | Education Hub-Nearby Techzones, Education Centers School & commercial tower for everyone needs | Buddha International Circuit- Next to Address which is the host for international events. | Metro Station- Easy access to nearby cities like Delhi Purposed Metro is in 5 km Radious | Superior connectivity via Yamuna Expressway, Eastern Peripheral Expressway | Proposed Metro Station Nearby, Convenient Access to Jewar Airport | Close to Business and Leisure Destinations | Day-today living amenities and infrastructure like offices, schools and healthcare located within 10 minutes | Strategically located just off the state-of-the-art Yamuna Expressway | In-close proximity with ICC Cricket Stadium, Night Safari, Golf course, Top-Notch, Universities","Strategically located near Eastern Peripheral Expressway, Yamuna Expressway.,Approved by UP RERA, project numbers UPRERAPRJ6887, UPRERAPRJ6811.,Power Backup ensures a seamless luxurious lifestyle.,Well-equipped Gymnasium for a healthy and active living.,Modular kitchens and Vitrified Tiles flooring for a luxurious experience."
15378,Builder Experience,,15+ years,25 Years Experience
15378,Total Towers,,13,
15378,Rera Number,P52100046003,,UPRERAAGT10119
15378,Name,Unique Youtopia Phase II,Solitairian City,Solitairian City Villas
15378,Location,By UNIQUE PROPERTIES,"Yamuna Expressway, Greater Noida","Sector 140A, Noida"
15378,Builder Name,Not Found,Solitaire Realinfra Private Limited,Le Solitairian
15378,Price Range,47.58 L - 80.81 L,3.95 Cr,Price on Request
15378,Price per Sq.Ft,,Rs 7519,
15378,BHK,"1, 2 BHK Apartments","1,2,3,4,5 BHK Flat, Villas",3 BHK
15378,Property Type,,"Flat, Villa",
15378,Project Status,,Under Construction,Mid Stage
15378,Launch Date,"Jul, 2022 Avg. Price: 12.23 K - 16.13 K/sq.ft",1-Jun-22,Ask for Details
15378,Possession Date,"Jun, 2026",1-Jul-24,Ask for Details
15378,Total Units,,2400.0,Ask for Details
15378,Project Size (Acres),0.11 Acres,16 Acre,Ask for Details
15378,Amenities Count,,36,
15378,USP,Not Found,"Golf Course Facing Project | All Units 3 Side Open | Low Density Project | Every Flat Is A Corner Flat | Sports Theme Based Project | Rera Approved | Well Ventilated And Spacious Apartments | Luxury Club With All Modern Amenities | Only 4 Flats On A Floor | Jewar International Airport- Perfect airport connectivity 10 Mins Drive From Airport. | Education Hub-Nearby Techzones, Education Centers School & commercial tower for everyone needs | Buddha International Circuit- Next to Address which is the host for international events. | Metro Station- Easy access to nearby cities like Delhi Purposed Metro is in 5 km Radious | Superior connectivity via Yamuna Expressway, Eastern Peripheral Expressway | Proposed Metro Station Nearby, Convenient Access to Jewar Airport | Close to Business and Leisure Destinations | Day-today living amenities and infrastructure like offices, schools and healthcare located within 10 minutes | Strategically located just off the state-of-the-art Yamuna Expressway | In-close proximity with ICC Cricket Stadium, Night Safari, Golf course, Top-Notch, Universities","Unwind in nature-rich surroundings, Sector 140A.,Elegant villas with scenic views, perfect retreat.,Prime location connects to major highways, convenient.,Ample space for luxury living, from 2400 sq. ft.,Unwind in nature-rich surroundings, Sector 140A.,Elegant villas with scenic views, perfect retreat.,Prime location connects to major highways, convenient.,Ample space for luxury living, from 2400 sq. ft."
15378,Builder Experience,,15+ years,25 Years Experience
15378,Total Towers,,13,
15378,Rera Number,P52100046003,,UPRERAAGT10119
15378,Name,Unique Youtopia Phase II,Solitairian City,Le Solitairian City
15378,Location,By UNIQUE PROPERTIES,"Yamuna Expressway, Greater Noida","Sector 25 Yamuna Expressway, Greater Noida"
15378,Builder Name,Not Found,Solitaire Realinfra Private Limited,Le Solitairian
15378,Price Range,47.58 L - 80.81 L,3.95 Cr,Rs46.09 Lac - 3.26 Cr
15378,Price per Sq.Ft,,Rs 7519,"Rs7,495 Per Sq. Ft"
15378,BHK,"1, 2 BHK Apartments","1,2,3,4,5 BHK Flat, Villas","1, 2, 3, 4 BHK"
15378,Property Type,,"Flat, Villa",
15378,Project Status,,Under Construction,Partially Ready To Move
15378,Launch Date,"Jul, 2022 Avg. Price: 12.23 K - 16.13 K/sq.ft",1-Jun-22,Ask for Details
15378,Possession Date,"Jun, 2026",1-Jul-24,"Sep 21, 2019"
15378,Total Units,,2400.0,2400 units
15378,Project Size (Acres),0.11 Acres,16 Acre,16.54 Acres
15378,Amenities Count,,36,
15378,USP,Not Found,"Golf Course Facing Project | All Units 3 Side Open | Low Density Project | Every Flat Is A Corner Flat | Sports Theme Based Project | Rera Approved | Well Ventilated And Spacious Apartments | Luxury Club With All Modern Amenities | Only 4 Flats On A Floor | Jewar International Airport- Perfect airport connectivity 10 Mins Drive From Airport. | Education Hub-Nearby Techzones, Education Centers School & commercial tower for everyone needs | Buddha International Circuit- Next to Address which is the host for international events. | Metro Station- Easy access to nearby cities like Delhi Purposed Metro is in 5 km Radious | Superior connectivity via Yamuna Expressway, Eastern Peripheral Expressway | Proposed Metro Station Nearby, Convenient Access to Jewar Airport | Close to Business and Leisure Destinations | Day-today living amenities and infrastructure like offices, schools and healthcare located within 10 minutes | Strategically located just off the state-of-the-art Yamuna Expressway | In-close proximity with ICC Cricket Stadium, Night Safari, Golf course, Top-Notch, Universities","Strategically located near Eastern Peripheral Expressway, Yamuna Expressway.,Approved by UP RERA, project numbers UPRERAPRJ6887, UPRERAPRJ6811.,Power Backup ensures a seamless luxurious lifestyle.,Well-equipped Gymnasium for a healthy and active living.,Modular kitchens and Vitrified Tiles flooring for a luxurious experience."
15378,Builder Experience,,15+ years,25 Years Experience
15378,Total Towers,,13,
