XID,Phase,Data Point,Housing,MagicBricks,SquareYards
294215,1,Possession Date,"Dec, 2025",1-Dec-30,"Jul 06, 2019"
294215,1,Launch Date,"Apr, 2023 Avg. Price: 13 K/sq.ft",01 November 2017,Ask for Details
294215,1,Possession Date,"Dec, 2025",01 December 2030,6-Jul-19
294215,1,Possession Date,"Dec, 2025",01 December 2030,"Jul 06, 2019"
297055,1,Name,,Godrej Nature Plus,Godrej Nature Plus
297055,1,Location,,"Sector 33 Sohna, Gurgaon","Sohna Sector 33, Gurgaon"
297055,1,Builder Name,,Godrej Properties,Godrej
297055,1,Price Range,,1.97 Cr,Rs1.57 Cr - 2.40 Cr
297055,1,Price per Sq.Ft,,Rs 7220,"Rs12,000 Per Sq. Ft"
297055,1,BHK,,"2,3 BHK Flats","2, 3 BHK"
297055,1,Property Type,,Flat,
297055,1,Project Status,,Under Construction,Under Construction
297055,1,Launch Date,,1-Jan-18,Ask for Details
297055,1,Possession Date,,1-Jan-28,30-Dec-21
297055,1,Total Units,,1200.0,1200 units
297055,1,Project Size (Acres),,16 Acre,15.59 Acres
297055,1,Amenities Count,,19.0,
297055,1,USP,,"Three foundations of healthy living in a unique house (green living, active living, and social well-being) | Located near the Aravalli foothills, with lovely east and west views | Clubhouse with premium facilities and fish-eyed 18,000 square feet | O2 Island, a 5-acre health park with improved air quality by two times | Live chess, hopscotch, monopoly, scrabble and a picnic table will be available in the family play area. | A pet park, koi pond, health café, and areas for feeding birds make up the entertainment area. | The 5-tier security system that includes a burglar alarm, canine and bike patrols, as well as features like bus shuttles and facial detection | Unique homes embracing green living, active living, and social well-being for a holistic lifestyle | 5-acre park O2 Island for enhanced air quality | Family play zone offers live chess, scrabble, hopscotch, monopoly, and picnic table | Equipped with a 5-Tier security system, including dog and bike patrolling, bus shuttle, burglar alarms, and face detection | Unique homes embracing green living, active living, and social well-being for a holistic lifestyle | 5-acre park O2 Island for enhanced air quality | Family play zone offers live chess, scrabble, hopscotch, monopoly, and picnic table | Equipped with a 5-Tier security system, including dog and bike patrolling, bus shuttle, burglar alarms, and face detection","800+ trees within society,Home automation available,Virus-free homes,5 tier security,Each apartment is facilitated with a TV unit, 3-seater premium sofa, 4-seater dining table, wardrobe, center table, and queen-size bed,Provides 1, 2, 3, and 4.5-BHK and Jodi apartments,Carpet areas between 430 to 1,260 sq. ft.,,Features a gymnasium, badminton court, children's play areas, yoga spaces, jogging/cycle path, and indoor games,With Jio Fiber for greater connectivity and intelligent living,Strategically located near Ghodbunder Road, with good connectivity throughout Thane and Mumbai."
297055,1,Builder Experience,,35+ years,29 Years Experience
297055,1,Total Towers,,13,
297055,1,Rera Number,,,660/2017/307
297055,1,Specifications,,"Balcony: Anti-Skid Ceramic Tiles.
Kitchen: Vitrified Tiles.
Living, Dining: Vitrified Tiles.
Master Bedroom: Laminated Wooden Flooring.
Other Bedroom: Vitrified Tiles.
Toilet: Ceramic Tiles.
Doors: Hardwood Door Frame with European Style Flush Panel.
Kitchen: Granite, Marble Counter Top with SS Double Bowl Sink, CP Fittings.
Windows: UPVC, Powder Coated Aluminium Glazing and Shutters.
Toilets: Conventional Fittings and WC.
Exterior: Exterior Paint.
Interior: Acrylic Emulsion Paint.
Kitchen: Ceramic Tiles up to 2 ft. above counter with Acrylic Emulsion Paint.
Toilets: Ceramic Tiles up to 7 ft. with Acrylic Emulsion.","Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Fittings & Fixtures: Air Conditioner Fittings; Kitchen-Equipments: Modular Kitchen, Hob, Chimney; Bathroom: Shower Panel, Geyser, Premium Bath Fittings; Structure: RCC Frame Structure"
297055,1,Amenities,,"Club House, Cafeteria/Food Court, Jogging and Strolling Track, Cycling & Jogging Track, Power Back Up, Swimming Pool, Lift, Security, Reserved Parking, Visitor Parking, Intercom Facility, Maintenance Staff, Gymnasium, Indoor Games Room, AEROBICS ROOM, Multipurpose Hall, Shopping center, Cricket net practice, Fire Fighting Equipment",
297055,1,Possession Date,,1-Jan-28,"Dec 30, 2021"
297055,1,Price Range,,,Rs1.57 Cr - 2.40 Cr
297055,1,Property Type,,,
297055,1,Project Status,,,Under Construction
297055,1,Launch Date,,,Ask for Details
297055,1,Possession Date,,,30-Dec-21
297055,1,Amenities Count,,0.0,
297055,1,Total Towers,,,
297055,1,Amenities,,,
297055,1,Possession Date,,,"Dec 30, 2021"
302889,1,Name,ATS Happy Trails,ATS Homekraft Happy Trails,ATS Happy Trails
302889,1,Location,"Plot No-GH2A, Sector 10 Noida Extension, Greater Noida","Noida Extension, Noida","Sector 10 Greater Noida, Greater Noida"
302889,1,Builder Name,ATS HOMEKRAFT,ATS Infrastructure Ltd.,ATS
302889,1,Price Range,1.16 Cr - 2.78 Cr,1.35 Cr,Rs1.39 Cr - 1.93 Cr
302889,1,Price per Sq.Ft,,Rs 7637,"Rs11,900 Per Sq. Ft"
302889,1,BHK,"2, 3 BHK Apartments","2,3 BHK Flats","2, 3 BHK"
302889,1,Property Type,,Flat,
302889,1,Project Status,,Under Construction,Under Construction
302889,1,Launch Date,"Apr, 2018 Avg. Price: 17.12 K/sq.ft",1-May-18,Ask for Details
302889,1,Possession Date,"Oct, 2025",1-Oct-25,"Apr 30, 2025"
302889,1,Total Units,,1280.0,1239 units
302889,1,Project Size (Acres),9 Acres (80% open),9 Acre,8.59 Acres
302889,1,Amenities Count,,38.0,
302889,1,USP,"Why ATS Happy Trails? Crafted to align with Vastu principles, ensuring harmony and positivity. The property offers amenities such as a card room, multipurpose hall, indoor games area, and children's play area. The property includes a swimming pool, squash court, jogging track, and badminton court. GD Goenka International School is located 3.7 kilometers away. View More Highlights","2 BHK and 3 BHK apartments with a spacious balcony | Total 8.6 acre project area | Total 12 residential towers with G+27 height | Total 1239 residential apartments | Easy connectivity via NH-24 | Stilt car parking | 80% open green area | 3 tier security | Accessible from 130M wide road | Near to proposed Metro Station | On the Noida-Greater Noida Link Road | 15 minutes drive to NH-24 | 20 minutes from Noida City Centre | 5 minutes drive to Kishan Chowk | Prominent schools, education institutes in the vicinity | Next to upcoming metro station",
302889,1,Builder Experience,,27+ years,20 Years Experience
302889,1,Total Towers,,12,
302889,1,Rera Number,UPRERAPRJ15574,,UPRERAAGT10119
302889,1,Specifications,,"Balcony - Anti Skid Ceramic Flooring
Kitchen - Vitrified Tiles
Living/Dining - Marble/Vitrified Tiles
Master Bedroom - Wooden /Vitrified Tiles
Other Bedroom - Wooden /Vitrified Tiles
Toilet - Ceramic Tiles
Main Door - Polished Wood Veneer and Solid Wood/Timber Frame
Internal Door - Flush/Skin Doors, Polished/Enamel Painted
Electrical - Concealed Conduits, Modular Plastic Switches
Kitchen - Stainless Steel Sink, Premium CP Fittings
Windows - Hardwood/Aluminum /UPVC
Toilets - Chrome Plated Fittings
Exterior - Texture Paint
Interior - OBD
Kitchen - Ceramic Tiles of 600mm Height above Kitchen Counter Slab
Toilets - Ceramic Tiles","Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen, Hob, Chimney; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure"
302889,1,Amenities,"Changing Room Garbage Disposal Swimming Pool Vastu Compliant Landscaping & Tree Planting Gymnasium Fire Fighting System Kid's Pool Squash Court Car Parking 24X7 Water Supply Jogging Track Street Lighting Gated Community Indoor Games Sports Facility Lawn Tennis Court Sewage Treatment Plant Club House Intercom Children's Play Area Entrance Lobby Card Room Recreation Facilities Lift(s) Badminton Court 24x7 CCTV Surveillance Multipurpose Hall Community Hall Paved Compound Maintenance Staff Rain Water Harvesting 24x7 Security Energy management Power Backup Earthquake Resistant Structure Less Source_URL: https://housing.com/in/buy/projects/page/95604-ats-happy-trails-by-ats-homekraft-in-noida-extension, Extraction_Date: 2025-04-04 01:57:15  Processing URL 4133/5207: https://housing.com/in/buy/projects/page/255860-ska-orion-by-ska-group-in-sector-143,","Club House, Cafeteria/Food Court, Bar/Lounge, Jogging and Strolling Track, Outdoor Tennis Courts, Private Terrace/Garden, Power Back Up, Swimming Pool, Lift, Security, Park, Reserved Parking, Service/Goods Lift, Visitor Parking, Intercom Facility, Maintenance Staff, Banquet Hall, Gymnasium, Indoor Games Room, DTH Television Facility, Laundry Service, Piped Gas, Rain Water Harvesting, RO Water System, Water Storage, Air Conditioned, Meditation Area, Vaastu Compliant, Internet/Wi-Fi Connectivity, Waste Disposal, Conference Room, Golf Course, Earth quake resistant, Health club with Steam / Jaccuzi, Multipurpose Hall, CCTV Camera, Kids play area, Kids Splash Pool",
306651,1,Name,,Godrej Meridien,Godrej Meridien
306651,1,Location,,"Sector 106, Gurgaon","Sector 106, Gurgaon"
306651,1,Builder Name,,Godrej Properties,Godrej
306651,1,Price Range,,4.13 Cr,Rs2.36 Cr - 4.71 Cr
306651,1,Price per Sq.Ft,,Rs 9865,
306651,1,BHK,,"2,3,4 BHK Flats","2, 3, 4 BHK"
306651,1,Property Type,,Flat,
306651,1,Project Status,,Under Construction,Partially Ready To Move
306651,1,Launch Date,,1-Mar-18,Ask for Details
306651,1,Possession Date,,1-Sep-25,30-Nov-21
306651,1,Total Units,,700.0,892 units
306651,1,Project Size (Acres),,15 Acre,14.79 Acres
306651,1,Amenities Count,,25.0,
306651,1,USP,,"Located just off the upcoming Dwarka Expressway. | A 3-storeyed Clubhouse sprawling over 6132 sq m with the best of international brand associations. | Over 86% of open & green spaces with over 3.6 acres of central green expanse. | A top-notch 4-tier security to keep you and your close ones safe at all times. | International brand associations like Holyfield gyms, Elle Spa & Salon, Art of Shavin.",
306651,1,Builder Experience,,35+ years,29 Years Experience
306651,1,Total Towers,,7,
306651,1,Rera Number,,,660/2017/307
306651,1,Specifications,,"FLOOR: MARBLE
WALLS: ACRYLIC EMULSION OR EQV
CEILING: OIL BOUND DISTEMPER OR EQV
FLOOR: LAMINATED WOODEN FLOORING OR EQV
WALLS: ACRYLIC EMULSION OR EQV.
CEILING: OIL BOUND DISTEMPER OR EQV
FLOOR: ANTI SKID CERAMIC TILE WITH SPACERS OR EQV
WALLS: CERAMIC DADO UPTO 7FT AND ACRYLIC EMULSION ABOVE IT
COUNTERS: GRANITE OR EQV
SANITARY WARE/CP FITTINGS: SINK AND CP FITTINGS
FITTING/FIXTURES: ALL PROVIDED OF STANDARD COMPANY MAKE
FLOOR: LAMINATED WOODEN FLOORING OR EQV.
WALLS: ACRYLIC EMULSION OR EQV.
CEILING: OIL BOUND DISTEMPER OR EQV.
FLOOR: ANTI SKID CERAMIC TILES
WALLS: TILE CLADDING TILL 7’-0” ON ALL SIDES
CEILING: OIL BOUND DISTEMPER
COUNTERS: GRANITE
SANITARY WARE/CP FITTINGS: SANITARY FITTINGS OF STANDARD MAKE
FIXTURES: ALL PROVIDED OF STANDARD COMPANY MAKE
FLOOR: VITRIFIED TILE
WALLS: CERAMIC TILES 2’-0” ABOVE COUNTERS
CEILING: OIL BOUND DISTEMPER
COUNTERS: MARBLE/GRANITE TOP WITH STAINLESS STEEL SINK WITH DRAIN BOARD
FIXTURES: FIXTURES OF STANDARD MAKE
FLOOR: CERAMIC TILES
WALLS AND CEILING WALLS: ACRYLIC EMULSION
TOILET: GRID CEILING
BALCONY: ANTI- SKID TILES
FLOOR: ANTI -SKID TILES
WALLS AND CEILING: EXTERNAL GRADE PAINT/OIL BOUND DISTEMPER
RAILINGS: MS RAILING AS PER DESIGN","Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Italian/Imported Marble; Walls: Oil Bound Distemper; Living Area-Flooring: Italian/Imported Marble; Kitchen-Equipments: Modular Kitchen, Hob, Chimney; Bathroom: Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure"
306651,1,Amenities,,"Club House, Jogging and Strolling Track, Outdoor Tennis Courts, Cycling & Jogging Track, Power Back Up, Swimming Pool, Lift, Security, Park, Reserved Parking, Visitor Parking, Intercom Facility, Maintenance Staff, Gymnasium, Indoor Games Room, Flower Gardens, Rain Water Harvesting, RO Water System, Water Storage, Air Conditioned, Indoor Squash & Badminton Courts, Mini Cinema Theatre, Earth quake resistant, Health club with Steam / Jaccuzi, Fire Fighting Equipment",
318679,1,Name,Hero Homes Gurgaon,Hero Homes,Hero Homes Gurgaon
318679,1,Location,"Sector 104, Dwarka Expressway, Gurgaon","Sector 104, Gurgaon","Sector 104, Gurgaon"
318679,1,Builder Name,HERO REALTY PRIVATE LIMITED,Hero Realty Pvt. Ltd.,Hero Realty Ltd
318679,1,Price Range,1.5 Cr - 3.67 Cr,1.35 Cr,Rs1.37 Cr - 2.11 Cr
318679,1,Price per Sq.Ft,,Rs 11841,"Rs12,481 Per Sq. Ft"
318679,1,BHK,"2, 3, 4 BHK Apartments","2,3,4 BHK Flats","2, 3 BHK"
318679,1,Property Type,,Flat,
318679,1,Project Status,,Under Construction,Partially Ready To Move
318679,1,Launch Date,"Nov, 2018 Avg. Price: Price on request",1-Nov-18,Ask for Details
318679,1,Possession Date,0,1-Feb-25,30-Jul-23
318679,1,Total Units,,650.0,1144 units
318679,1,Project Size (Acres),9 Acres (85% open),9 Acre,34.02 Acres
318679,1,Amenities Count,,18.0,
318679,1,USP,"Why Hero Homes Gurgaon? Smart suite technology enabled homes 3 open side properties, smart homes, intelligent home access control Cineplex in close vicinity",Smooth Lift Systems. | Laminated Wooden Flooring. | Air Conditioned Apartments. | Premium Kolhar Bath Fittings. | Modular Kitchen with Chimney Hub. | 75% open area for state-of-the-art free living. | Home Automation. | Biometric Door Lock. | Video Door Phone. | Occupancy Light Sensor. | Wifi POD. | EV charging Station.,
318679,1,Builder Experience,,18+ years,13 Years Experience
318679,1,Total Towers,,8,
318679,1,Rera Number,GGM/24/2018,,660/2017/307
318679,1,Specifications,,"Modular Kitchen with Chimney & Hob.
Wooden Flooring in all the bed rooms.
Split Air Conditioners in living and all bedrooms.
85% open area for state-of-the-art free living","Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Laminated Wooden; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Fittings & Fixtures: Split Air Conditioner; Kitchen-Equipments: Modular Kitchen, Hob, Chimney; Bathroom: Shower Panel, Geyser, Premium Bath Fittings, Exhaust Fan; Structure: RCC Frame Structure"
318679,1,Amenities,Amphitheater Cricket Pitch Spa Skating Rink Fire Sprinklers Table Tennis Kid's Pool Medical Facilities Car Parking 24X7 Water Supply Multipurpose Room Senior Citizen Siteout Street Lighting Indoor Games Cycling & Jogging Track Bowling Alley Party Lawn Sewage Treatment Plant Intercom Children's Play Area Card Room Party Hall 24x7 CCTV Surveillance Chess Board Community Hall Spa/Sauna/Steam Banquet Hall Maintenance Staff Library Rain Water Harvesting Jacuzzi 24x7 Security Cafeteria Reading Lounge Internet / Wi-Fi Tennis Court Sauna Bath Reflexology Park Solar Lighting Swimming Pool Vastu Compliant Landscaping & Tree Planting Gymnasium Fire Fighting System Squash Court Jogging Track Gated Community Sports Facility Lawn Tennis Court Club House Entrance Lobby Yoga / Meditation Area Barbecue Area Bar/Chill-out Lounge Lift(s) Badminton Court Terrace Garden Creche/Day Care Sun Deck Video Door Security Restaurant High Speed Elevators Multipurpose Hall Conference Room Paved Compound Solar Water Heating Internal Roads & Footpaths ATM Carrom Power Backup Billiards / Snooker Table Less Source_URL: https://housing.com/in/buy/projects/page/95699-hero-homes-gurgaon-by-hero-realty-private-limited-in-sector-104 Extraction_Date: 2025-04-02 00:30:54  Processing URL 832/5207: https://housing.com/in/buy/projects/page/74478-dlf-capital-greens-phase-1-and-2-by-dlf-in-karampura,"Club House, Cafeteria/Food Court, Power Back Up, Swimming Pool, Lift, Security, Park, Reserved Parking, Visitor Parking, Intercom Facility, Maintenance Staff, Gymnasium, Indoor Games Room, Rentable Community Space, Indoor Squash & Badminton Courts, Meditation Area, CCTV Camera, Fire Fighting Equipment",
318679,1,Possession Date,0,1-Feb-25,"Jul 30, 2023"
318679,1,Launch Date,"Nov, 2018 Avg. Price: Price on request",01 November 2018,Ask for Details
318679,1,Possession Date,0,01 February 2025,30-Jul-23
318679,1,Possession Date,0,01 February 2025,"Jul 30, 2023"
319819,1,Name,Shapoorji Pallonji JoyVille,Shapoorji Pallonji Joyville,Shapoorji Pallonji Joyville Gurgaon
319819,1,Location,"Kherki Majra, Sector 102, Dwarka Expressway, Gurgaon","Sector 102, Gurgaon","Sector 102, Gurgaon"
319819,1,Builder Name,SHAPOORJI PALLONJI REAL ESTATE,Shapoorji Pallonji Real Estate,Shapoorji Pallonji
319819,1,Price Range,1.5 Cr - 3.25 Cr,2.79 Cr,Rs1.22 Cr - 2.90 Cr
319819,1,Price per Sq.Ft,,Rs 10303,
319819,1,BHK,"2, 3, 4 BHK Apartments","2,3,4 BHK Flats","2, 3, 4 BHK"
319819,1,Property Type,,Flat,
319819,1,Project Status,,Ready To Move,Partially Ready To Move
319819,1,Launch Date,"Jan, 2019 Avg. Price: Price on request",1-Jan-19,Ask for Details
319819,1,Possession Date,"Aug, 2023",1-Mar-23,Ask for Details
319819,1,Total Units,,1528.0,1843 units
319819,1,Project Size (Acres),18 Acres (75% open),18 Acre,18 Acres
319819,1,Amenities Count,,13.0,
319819,1,USP,"Why Shapoorji Pallonji JoyVille? Some of the amenities are children play area Accessibility to key landmarks Conviniently located near schools, malls, recreational, hospitals, educational institutes, restaurants","18 acres of area | 3 acres of vibrant parks | Clubhouse with a pool | There are no club development fees. | Jio Gigafiber | Outdoor air pollution controllers for future-ready homes | Excellent connectivity with the rest of the city and over 31 amenities within the project. | Greater than 75% of open spaces | A playground for children and amphitheatre | 150+ years of legacy from India's No. 1 construction and infrastructure company | A majority of available space | ACs in every room | More than eight small amenity areas | Modular kitchen with chimney and hob | Flexibility of payment | Shapoorji Pallonji proudly holds the No. 1 ranking awarded by Construction Week India Magazine in 2018 | Private terrace gardens with 3-bedroom residences | Includes 3 acres (12,140 sq. mt.) of vibrant parks | Apartments powered by JioFiber, offering unprecedented services in India | Living room and bedrooms equipped with AC's","Strategically located on Old Delhi Gurgaon Road, Dwarka Expressway.,Seamless connectivity to Old Delhi Gurgaon Road, Dwarka Expressway.,Enjoy sports facilities like fully equipped gymnasium.,Reliable power backup for uninterrupted living.,Spacious apartments with luxurious finishes, master bedrooms with oil bound distemper walls and laminated wooden flooring."
319819,1,Builder Experience,,75+ years,
319819,1,Total Towers,,13,
319819,1,Rera Number,"RC/REP/HARERA/GGM/2018/27, RC/REP/HARERA/GGM/2018/28, RC/REP/HARERA/GGM/2018/29, RC/REP/HARERA/GGM/2018/30",,660/2017/307
319819,1,Specifications,,"Powder-coated Aluminum windows
MS Railing with Synthetic Enamel Paint
Modular switches and sockets from Legrand or equivalent
Vitrified tiles of size 800mm x 800mm for living, dining and kitchen
Wooden laminated flooring for all bedrooms
Rough textured ceramic tiles in bathrooms, balconies and utility area
Main door and bedroom doors – wooden flush door with laminates on both sides, wooden flush toilet door.
Branded sanitary fittings from Jaquar/Cera or equivalent
Branded CP fittings from Jaquar/Cera or equivalent
Provision for exhaust fan
Solar water heater in master bed bathroom
False ceiling in all bathrooms
Provision for geysers in bathrooms
Concealed dual flush systems in bathrooms
Counter top with under counter basin
Modular Kitchen* by Godrej Interio or equivalent
Hob and Chimney by Glenn or equivalent
Black Granite platform with stainless steel sink with drain board from Nirali/Futura or equivalent
Electrical points for kitchen appliances
Provision for exhaust fans
Provision for water purifier
Provision for geyser in kitchen
Dado tiles up to 600 mm above counter top
2-way control switches in all bedrooms(selective points for fan and light)
Powder-coated Aluminum windows
MS Railing with Synthetic Enamel Paint
Modular switches and sockets from Legrand or equivalent
Vitrified tiles of size 800mm x 800mm for living, dining and kitchen
Wooden laminated flooring for all bedrooms
Rough textured ceramic tiles in bathrooms, balconies and utility area
Main door and bedroom doors – wooden flush door with laminates on both sides, wooden flush toilet door.
Branded sanitary fittings from Jaquar/Cera or equivalent
Branded CP fittings from Jaquar/Cera or equivalent
Provision for exhaust fan
Solar water heater in master bed bathroom
False ceiling in all bathrooms
Provision for geysers in bathrooms
Concealed dual flush systems in bathrooms
Counter top with under counter basin
Modular Kitchen* by Godrej Interio or equivalent
Hob and Chimney by Glenn or equivalent
Black Granite platform with stainless steel sink with drain board from Nirali/Futura or equivalent
Electrical points for kitchen appliances
Provision for exhaust fans
Provision for water purifier
Provision for geyser in kitchen
Dado tiles up to 600 mm above counter top","Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Laminated Wooden; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Fittings & Fixtures: Split Air Conditioner; Kitchen-Equipments: Modular Kitchen, Hob, Chimney; Bathroom: Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure"
319819,1,Amenities,Gazebo Fire Sprinklers Valet Parking Table Tennis Mini Theatre Business Suites Water Softner Plant Car Parking Senior Citizen Siteout Pergola Cycling & Jogging Track Shopping Mall Piped Gas Connection Children's Play Area Sports Area Sports Complex 24x7 CCTV Surveillance Reserved Parking Health Facilities Chess Board Open Car Parking Feng Shui Laundromat Jacuzzi Sauna Bath Grocery Shop Reflexology Park Garbage Disposal Swimming Pool Vastu Compliant Bus Shelter Fire Fighting System Flower Garden Gymnasium Squash Court Gated Community Utility Shops Lawn Tennis Court Foosball Entrance Lobby Yoga / Meditation Area Barbecue Area Bar/Chill-out Lounge Football Field Lift(s) Badminton Court RO Water System Restaurant Multipurpose Hall Internal Roads & Footpaths ATM Infinity Pool Carrom Power Backup Cigar Lounge Dart Board Amphitheater Volleyball Court Cricket Pitch Spa Skating Rink Fountains Kid's Pool 24X7 Water Supply Street Lighting Indoor Games Food Court Party Lawn Intercom Salon Visitor Parking Party Hall Water Sports Community Hall Vertical Garden Maintenance Staff Banquet Hall Library 24x7 Security Electrical meter Room Cafeteria Waiting Lounge Ayurveda Centre Internet / Wi-Fi Tennis Court Sub-Station Landscaping & Tree Planting Water Storage School High-tech alarm system Smoke Detectors Sports Facility Club House Doctor on call Security Cabin Wall Climbing Fire Retardant Structure Terrace Garden Aerobics Room Creche/Day Care Sun Deck Video Door Security High Speed Elevators Basketball Court Conference Room Car Wash Area Solar Water Heating Acupressure Center Billiards / Snooker Table DG Availability Less Source_URL: https://housing.com/in/buy/projects/page/128336-shapoorji-pallonji-joyville-by-shapoorji-pallonji-real-estate-in-sector-102 Extraction_Date: 2025-04-01 18:03:44  Processing URL 329/5207: https://housing.com/in/buy/projects/page/310554-mana-dale-by-mana-projects-pvt-ltd-in-kodathi,"Club House, Power Back Up, Swimming Pool, Lift, Security, Park, Reserved Parking, Internet/Wi-Fi Connectivity, Garden View, Kids play area, Kids Splash Pool, Cricket net practice, Event Space & Amphitheatre",
320141,1,Name,,Godrej Air,Godrej Air Sector 85
320141,1,Location,,"Sector 85, Gurgaon","Sector 85, Gurgaon"
320141,1,Builder Name,,Godrej Properties,Godrej
320141,1,Price Range,,3.30 Cr,Rs1.18 Cr - 2.27 Cr
320141,1,Price per Sq.Ft,,Rs 11743,
320141,1,BHK,,"2,3,4 BHK Flats","2, 3, 4 BHK"
320141,1,Property Type,,Flat,
320141,1,Project Status,,Ready To Move,Ready to Move
320141,1,Launch Date,,1-Dec-18,Ask for Details
320141,1,Possession Date,,1-Sep-23,30-Sep-21
320141,1,Total Units,,601.0,608 units
320141,1,Project Size (Acres),,10 Acre,10.4 Acres
320141,1,Amenities Count,,26.0,
320141,1,USP,,Residential apartments with all types of modernized amenities | Perfect for people of all ages | 10x enhanced air quality with CTFA systems | It helps keep you and your loved ones leading a healthy life. | RERA and all other approvals are in place as mandated by the state authority. | It is one of the most sought-after locations in Gurugram. | Posh metropolis | Well-connected to the City Center and other prime locations of the city | Profitable investment option | 6 mins* drive time to Delhi Public School - Sector 84 | 30 mins* drive time to VPS Hospital Rockland - Sector 5 | 8 mins* drive time to Sapphire Mall - Sector 83 | 8 mins* drive time to Reliance Trends - Sector 83 | 15 mins* drive time to Eros Corporate Park - Sector 2,
320141,1,Builder Experience,,35+ years,29 Years Experience
320141,1,Total Towers,,6,
320141,1,Rera Number,,,660/2017/307
320141,1,Specifications,,"Residential apartments with all types of modernized amenities
Perfect for people of all ages
10x enhanced air quality with CTFA systems
It helps keep you and your loved ones leading a healthy life.
RERA and all other approvals are in place as mandated by the state authority.
It is one of the most sought-after locations in Gurugram.
Posh metropolis
Well-connected to the City Center and other prime locations of the city
Profitable investment option
6 mins* drive time to Delhi Public School - Sector 84
30 mins* drive time to VPS Hospital Rockland - Sector 5
8 mins* drive time to Sapphire Mall - Sector 83
8 mins* drive time to Reliance Trends - Sector 83
15 mins* drive time to Eros Corporate Park - Sector 2","Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Shower Panel, Geyser, Premium Bath Fittings; Structure: RCC Frame Structure"
320141,1,Amenities,,"Club House, Cafeteria/Food Court, Bar/Lounge, Outdoor Tennis Courts, Barbeque Pit, Power Back Up, Swimming Pool, Lift, Security, Park, Reserved Parking, Visitor Parking, Intercom Facility, Maintenance Staff, Banquet Hall, Gymnasium, Indoor Games Room, Kids Club, Laundry Service, Water Storage, Air Conditioned, Indoor Squash & Badminton Courts, Meditation Area, Internet/Wi-Fi Connectivity, Kids Play Pool With Water Slides, Fire Fighting Equipment",
320141,1,Possession Date,,1-Sep-23,"Sep 30, 2021"
320141,1,Launch Date,,01 December 2018,Ask for Details
320141,1,Possession Date,,01 September 2023,30-Sep-21
320141,1,Possession Date,,01 September 2023,"Sep 30, 2021"
327273,1,Name,County 107,County 107,ABA County 107
327273,1,Location,"GH 01A, B Alpha, Sector 107, Noida","Sector 107, Noida","Sector 107, Noida"
327273,1,Builder Name,COUNTY GROUP,County Group,ABA County Group
327273,1,Price Range,6.65 Cr - 12.48 Cr,9.50 Cr,Rs7.70 Cr - 14.45 Cr
327273,1,Price per Sq.Ft,,Rs 12853,"Rs22,000 Per Sq. Ft"
327273,1,BHK,"4, 5 BHK Apartments","4,5 BHK Flats","4, 5 BHK"
327273,1,Property Type,,Flat,
327273,1,Project Status,,Ready To Move,Ready to Move
327273,1,Launch Date,"May, 2019 Avg. Price: 19 K/sq.ft",1-Mar-19,Ask for Details
327273,1,Possession Date,"Dec, 2023",1-Jun-24,20-Nov-19
327273,1,Total Units,,244.0,230 units
327273,1,Project Size (Acres),5 Acres,5 Acre,4.94 Acres
327273,1,Amenities Count,,32.0,
