District Name,Project Name,Project Type,Promoter Name,Application No.,Registration No.,Actions,chec_regno
Sikar,MAMTA VIHAR AAWASIYA YOJNA,PLOTTED,SANWAR MAL,RAJ-RERA-APP-P-2023-8286,RAJ/P/2023/2613 (13/07/2023),View,RAJ_P_2023_2613 (13_07_2023)
Jaipur,"FARM HOUSE/ECO FRIENDLY HOUSING SCHEME KH. NO. 174 PART, 202, 203 PART 222 & 224",PLOTTED,JAIPUR DEVELOPMENT AUTHORITY,RAJ-RERA-APP-P-2023-8288,RAJ/P/2023/2592 (23/06/2023),View,RAJ_P_2023_2592 (23_06_2023)
Jaipur,SHRISHTI VIHAR-1,PLOTTED,VIDYA ROCKS PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8281,RAJ/P/2023/2585 (22/06/2023),View,RAJ_P_2023_2585 (22_06_2023)
Udaipur,वाडा आवास योजना,PLOTTED,UIT UDAIPUR,RAJ-RERA-APP-P-2023-8278,RAJ/P/2023/2677 (25/08/2023),View,RAJ_P_2023_2677 (25_08_2023)
Alwar,KAPIL VASTU VILLA EXT.-2,PLOTTED,PRADEEP VATRANA,RAJ-RERA-APP-P-2023-8282,RAJ/P/2023/2596 (26/06/2023),View,RAJ_P_2023_2596 (26_06_2023)
Alwar,TREHAN VISTA,PLOTTED,TREHAN HOME DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8264,RAJ/P/2023/2666 (22/08/2023),View,RAJ_P_2023_2666 (22_08_2023)
Kota,PARSHAVNATH CITY BLOCK-A,PLOTTED,PRANATI BUILDCON,RAJ-RERA-APP-P-2023-8257,RAJ/P/2023/2606 (10/07/2023),View,RAJ_P_2023_2606 (10_07_2023)
Jaipur,PRIM WOODS EXTENSION,PLOTTED,FINETECH VELENTINO BUILDERS LLP,RAJ-RERA-APP-P-2023-8255,RAJ/P/2023/2681 (28/08/2023),View,RAJ_P_2023_2681 (28_08_2023)
Sri Ganganagar,Shree Om Enclave,PLOTTED,Hanuman Prasad Gupta,RAJ-RERA-APP-P-2023-8253,RAJ/P/2023/2614 (13/07/2023),View,RAJ_P_2023_2614 (13_07_2023)
Jaipur,SPACE VILLAS,GROUP HOUSING,One Realty Group,RAJ-RERA-APP-P-2023-8249,RAJ/P/2023/2600 (03/07/2023),View,RAJ_P_2023_2600 (03_07_2023)
Jodhpur,Chokha Commercial Scheme K. No 701,PLOTTED,JODHPUR DEVELOPMENT AUTHORITY,RAJ-RERA-APP-P-2023-8244,RAJ/P/2023/2638 (29/07/2023),View,RAJ_P_2023_2638 (29_07_2023)
Jodhpur,Lok Kala Nagar Yojana,PLOTTED,JODHPUR DEVELOPMENT AUTHORITY,RAJ-RERA-APP-P-2023-8245,RAJ/P/2023/2586 (22/06/2023),View,RAJ_P_2023_2586 (22_06_2023)
Sikar,GOPAL VIHAR AAWASIYA YOJNA,PLOTTED,JAWAHAR SINGH,RAJ-RERA-APP-P-2023-8220,RAJ/P/2023/2607 (10/07/2023),View,RAJ_P_2023_2607 (10_07_2023)
Ajmer,CHHATRAPATI SHIVAJI NAGAR,PLOTTED,DHEERENDRA SINGH RATHORE,RAJ-RERA-APP-P-2023-8207,RAJ/P/2023/2615 (13/07/2023),View,RAJ_P_2023_2615 (13_07_2023)
Jaipur,APNA BUNGALOW PHASE - 3,PLOTTED,Siddhi Vinayak Buildhome LLP,RAJ-RERA-APP-P-2023-8200,RAJ/P/2023/2581 (14/06/2023),View,RAJ_P_2023_2581 (14_06_2023)
Sikar,CHIRAG VATIKA PHASE-II,PLOTTED,BIRDA RAM,RAJ-RERA-APP-P-2023-8198,RAJ/P/2023/2616 (13/07/2023),View,RAJ_P_2023_2616 (13_07_2023)
Jaipur,Govind Vihar,PLOTTED,JAIPUR DEVELOPMENT AUTHORITY,RAJ-RERA-APP-P-2023-8188,RAJ/P/2023/2587 (22/06/2023),View,RAJ_P_2023_2587 (22_06_2023)
Jaipur,Patel Nagar,PLOTTED,JAIPUR DEVELOPMENT AUTHORITY,RAJ-RERA-APP-P-2023-8190,RAJ/P/2023/2588 (22/06/2023),View,RAJ_P_2023_2588 (22_06_2023)
Sikar,MODEL TOWN PHASE-2,PLOTTED,ASHOK KUMAR,RAJ-RERA-APP-P-2023-8177,RAJ/P/2023/2886 (22/12/2023),View,RAJ_P_2023_2886 (22_12_2023)
Ajmer,SHREE JI VIHAR,PLOTTED,NEHA BHATI,RAJ-RERA-APP-P-2023-8187,RAJ/P/2023/2599 (30/06/2023),View,RAJ_P_2023_2599 (30_06_2023)
Jaipur,RIYASAT INDUSTRIAL PARK,PLOTTED,RIYASAT INFRATECH DEVELOPERS LLP,RAJ-RERA-APP-P-2023-8185,RAJ/P/2023/2570 (09/06/2023),View,RAJ_P_2023_2570 (09_06_2023)
Sri Ganganagar,PRITHVIRAJ ENCLAVE I,PLOTTED,PRADUMAN PRATAP SINGH,RAJ-RERA-APP-P-2023-8168,RAJ/P/2023/2608 (10/07/2023),View,RAJ_P_2023_2608 (10_07_2023)
Sikar,NARAYANI VIHAR-3,PLOTTED,MAHMOOD ALI,RAJ-RERA-APP-P-2023-8166,RAJ/P/2023/2626 (25/07/2023),View,RAJ_P_2023_2626 (25_07_2023)
Sikar,KRISHNA VIHAR PHASE-4,PLOTTED,RAJENDRA KUMAR SAINI,RAJ-RERA-APP-P-2023-8161,RAJ/P/2023/2580 (12/06/2023),View,RAJ_P_2023_2580 (12_06_2023)
Sikar,ANNA NAGAR PHASE-2nd RESIDENTIAL SCHEME,PLOTTED,ANITA DEVI,RAJ-RERA-APP-P-2023-8152,RAJ/P/2023/2637 (27/07/2023),View,RAJ_P_2023_2637 (27_07_2023)
Jaipur,KEDIA'S ARAVALI PHASE-IIND,PLOTTED,KEDIA BUILDERS AND COLONIZERS PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8153,RAJ/P/2023/2569 (07/06/2023),View,RAJ_P_2023_2569 (07_06_2023)
Jaipur,KEDIA'S UMANG,GROUP HOUSING,BADRINATH INFRAPROJECTS PVT LTD,RAJ-RERA-APP-P-2023-8147,RAJ/P/2023/2571 (09/06/2023),View,RAJ_P_2023_2571 (09_06_2023)
Sri Ganganagar,Shreenath Enclave Sector 2,PLOTTED,ANANDAM HEIGHTS DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8137,RAJ/P/2023/2806 (05/11/2023),View,RAJ_P_2023_2806 (05_11_2023)
Alwar,"""VILLAS"" BY SHUBHASHRAY",GROUP HOUSING,SUREFIN ADVISORS PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8135,RAJ/P/2024/2959 (30/01/2024),View,RAJ_P_2024_2959 (30_01_2024)
Sikar,MANGALAM VIHAR AAWASIYA YOJNA,PLOTTED,RAJENDRA PRASAD,RAJ-RERA-APP-P-2023-8133,RAJ/P/2023/2572 (09/06/2023),View,RAJ_P_2023_2572 (09_06_2023)
Ajmer,Avenue One,PLOTTED,MERWARA REALTY DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8118,RAJ/P/2023/2628 (26/07/2023),View,RAJ_P_2023_2628 (26_07_2023)
Kota,GIRIRAJ DHAM,PLOTTED,PARVATI BUILDESTATE DEVELOPERS PVT LTD,RAJ-RERA-APP-P-2023-8115,RAJ/P/2023/2568 (07/06/2023),View,RAJ_P_2023_2568 (07_06_2023)
Jaipur,SHREE SHYAM HEIGHTS,GROUP HOUSING,SHREE SHYAM HOMES,RAJ-RERA-APP-P-2023-8116,RAJ/P/2023/2563 (01/06/2023),View,RAJ_P_2023_2563 (01_06_2023)
Sikar,MODEL TOWN PHASE-1,PLOTTED,ASHOK KUMAR,RAJ-RERA-APP-P-2023-8109,RAJ/P/2023/2573 (09/06/2023),View,RAJ_P_2023_2573 (09_06_2023)
Ajmer,R.K.G. COLONY,PLOTTED,MOHIT GARG,RAJ-RERA-APP-P-2023-8110,RAJ/P/2023/2701 (15/09/2023),View,RAJ_P_2023_2701 (15_09_2023)
Jaipur,SHRI GOVERDHAN VATIKA,PLOTTED,Hukam Chand Choudhary,RAJ-RERA-APP-P-2023-8098,RAJ/P/2023/2579 (12/06/2023),View,RAJ_P_2023_2579 (12_06_2023)
Jaipur,ELGIN HEIGHTS,GROUP HOUSING,RIDHI SIDHI ENTERPRISES,RAJ-RERA-APP-P-2023-8101,RAJ/P/2023/2574 (09/06/2023),View,RAJ_P_2023_2574 (09_06_2023)
Sikar,PRIDE CITY,PLOTTED,BALAJI ENTERPRISES,RAJ-RERA-APP-P-2023-8097,RAJ/P/2023/2609 (10/07/2023),View,RAJ_P_2023_2609 (10_07_2023)
Ajmer,CHANDRAKALA VIHAR - III,PLOTTED,SHALIMAR BUILDCON PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8076,RAJ/P/2023/2617 (13/07/2023),View,RAJ_P_2023_2617 (13_07_2023)
Kota,Benchmark City Block R,PLOTTED,NARENDRA KHANDELWAL,RAJ-RERA-APP-P-2023-8091,RAJ/P/2023/2575 (09/06/2023),View,RAJ_P_2023_2575 (09_06_2023)
Jaipur,UDAY VATIKA,PLOTTED,POSWAL REALESTATE PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8053,RAJ/P/2023/2567 (07/06/2023),View,RAJ_P_2023_2567 (07_06_2023)
Jaipur,THE EMERALD-II,GROUP HOUSING,ARD BUILDHOME PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8047,RAJ/P/2023/2598 (30/06/2023),View,RAJ_P_2023_2598 (30_06_2023)
Jaipur,SIYARAM ENCLAVE,PLOTTED,THE CROWN INFRAHEIGHT LLP,RAJ-RERA-APP-P-2023-8052,RAJ/P/2023/2553 (29/05/2023),View,RAJ_P_2023_2553 (29_05_2023)
Jaipur,R.M.HEIGHTS,GROUP HOUSING,R M REAL ESTATE,RAJ-RERA-APP-P-2023-8036,RAJ/P/2023/2629 (26/07/2023),View,RAJ_P_2023_2629 (26_07_2023)
Jaipur,CAFETERIA/ RESTAURANT PLOTS,PLOTTED,JAIPUR DEVELOPMENT AUTHORITY,RAJ-RERA-APP-P-2023-8026,RAJ/P/2023/2550 (23/05/2023),View,RAJ_P_2023_2550 (23_05_2023)
Ajmer,SHREE SHYAM NAGAR,PLOTTED,AMIT BHANSALI,RAJ-RERA-APP-P-2023-8029,RAJ/P/2023/2552 (26/05/2023),View,RAJ_P_2023_2552 (26_05_2023)
Jaipur,THE RING RESIDENCY EXTENSION,PLOTTED,RIYASAT INFRATECH DEVELOPERS LLP,RAJ-RERA-APP-P-2023-8014,RAJ/P/2023/2555 (29/05/2023),View,RAJ_P_2023_2555 (29_05_2023)
Jaipur,SHUBHASHISH PRAKASH Phase-I,GROUP HOUSING,Shubhashish Homes Realty LLP,RAJ-RERA-APP-P-2023-8023,RAJ/P/2023/2544 (16/05/2023),View,RAJ_P_2023_2544 (16_05_2023)
Jaipur,The Grand Arch-I,GROUP HOUSING,Rukmaa Infra Projects Private Limited,RAJ-RERA-APP-P-2023-8022,RAJ/P/2023/2589 (22/06/2023),View,RAJ_P_2023_2589 (22_06_2023)
Jaipur,ASKG HEIGHTS,GROUP HOUSING,ASTHA INDUSTRIES,RAJ-RERA-APP-P-2023-8019,RAJ/P/2023/2554 (29/05/2023),View,RAJ_P_2023_2554 (29_05_2023)
Jaipur,WORLD BUSINESS CENTRE,Commercial,RR Premium Homes LLP,RAJ-RERA-APP-P-2023-7997,RAJ/P/2023/2558 (29/05/2023),View,RAJ_P_2023_2558 (29_05_2023)
Jaipur,Shree Madhav Homeland,PLOTTED,BHRAMI BUILDESTATE LLP,RAJ-RERA-APP-P-2023-7986,RAJ/P/2023/2536 (11/05/2023),View,RAJ_P_2023_2536 (11_05_2023)
Ajmer,DILKAUR AVENUE,PLOTTED,SAMRIDHI DREAM BUILDERS PRIVATE LIMITED,RAJ-RERA-APP-P-2023-7977,RAJ/P/2023/2551 (23/05/2023),View,RAJ_P_2023_2551 (23_05_2023)
Udaipur,SHOURYA HEIGHTS,GROUP HOUSING,SHOURYA ENTERPRISES,RAJ-RERA-APP-P-2023-7979,RAJ/P/2023/2727 (27/09/2023),View,RAJ_P_2023_2727 (27_09_2023)
Jaipur,South Ex - A Block,PLOTTED,VIRGO BUILDESTATE PRIVATE LIMITED,RAJ-RERA-APP-P-2023-7973,RAJ/P/2023/2537 (11/05/2023),View,RAJ_P_2023_2537 (11_05_2023)
Alwar,ANSALS GARDEN ENCLAVE,PLOTTED,ANSAL CONSTRUCTION PRIVATE LIMITED,RAJ-RERA-APP-P-2023-7906,RAJ/P/2023/2618 (13/07/2023),View,RAJ_P_2023_2618 (13_07_2023)
Sri Ganganagar,"Ridhi Sidhi Enclave - 2, Sector - 13",PLOTTED,Suresh Shah,RAJ-RERA-APP-P-2023-7810,RAJ/P/2023/2566 (07/06/2023),View,RAJ_P_2023_2566 (07_06_2023)
Jaipur,RADHE PRAANGAN,PLOTTED,RADHEY REAL ESTATE AND BUILDERS,RAJ-RERA-APP-P-2023-7801,RAJ/P/2023/2560 (29/05/2023),View,RAJ_P_2023_2560 (29_05_2023)
Udaipur,THE KANISHKA CITY,GROUP HOUSING,KANISHKA BUILDCON,RAJ-RERA-APP-P-2023-7794,RAJ/P/2024/3112 (13/05/2024),View,RAJ_P_2024_3112 (13_05_2024)
Jaipur,GANESHAM PARK VIEW,GROUP HOUSING,SHREE GANESHAM APARTMENTS,RAJ-RERA-APP-P-2023-7756,RAJ/P/2023/2559 (29/05/2023),View,RAJ_P_2023_2559 (29_05_2023)
Jaipur,RAM AWAS-V,GROUP HOUSING,Shubhashish Homes Realty LLP,RAJ-RERA-APP-P-2023-7761,RAJ/P/2023/2564 (01/06/2023),View,RAJ_P_2023_2564 (01_06_2023)
Jaipur,VRB SAPPHIRE PARK-2ND,PLOTTED,VRB DREAM HOMES PRIVATE LIMITED,RAJ-RERA-APP-P-2023-7744,RAJ/P/2023/2528 (03/05/2023),View,RAJ_P_2023_2528 (03_05_2023)
Ajmer,HAPPY VIDHYASHRY,PLOTTED,HAPPY REALSQUARE LLP,RAJ-RERA-APP-P-2023-7742,RAJ/P/2023/2538 (11/05/2023),View,RAJ_P_2023_2538 (11_05_2023)
Jaipur,GANESHAM UTSAV,GROUP HOUSING,MLM REAL ESTATES,RAJ-RERA-APP-P-2023-7720,RAJ/P/2023/2547 (19/05/2023),View,RAJ_P_2023_2547 (19_05_2023)
Jaipur,ROYAL CITY,PLOTTED,Khandelwal Infraheights Private Limited,RAJ-RERA-APP-P-2023-7713,RAJ/P/2023/2518 (01/05/2023),View,RAJ_P_2023_2518 (01_05_2023)
Jaipur,THE PEARL,GROUP HOUSING,SHREE BALAJI BUILDERS AND DEVELOPERS,RAJ-RERA-APP-P-2023-7710,RAJ/P/2023/2556 (29/05/2023),View,RAJ_P_2023_2556 (29_05_2023)
Jaipur,HEAVEN'S TERRACES,GROUP HOUSING,Heaven and Homes Developers LLP,RAJ-RERA-APP-P-2023-7709,RAJ/P/2023/2548 (19/05/2023),View,RAJ_P_2023_2548 (19_05_2023)
Jaipur,CELESTA,GROUP HOUSING,OM ENTERPRISES,RAJ-RERA-APP-P-2023-7679,RAJ/P/2023/2539 (12/05/2023),View,RAJ_P_2023_2539 (12_05_2023)
Udaipur,MAHADEV TOWER,GROUP HOUSING,SHUBH CONSTRUCTIONS,RAJ-RERA-APP-P-2023-7658,RAJ/P/2023/2582 (14/06/2023),View,RAJ_P_2023_2582 (14_06_2023)
Bundi,AYODHYA NAGRI,PLOTTED,MANAN NUWAL,RAJ-RERA-APP-P-2023-7662,RAJ/P/2023/2527 (01/05/2023),View,RAJ_P_2023_2527 (01_05_2023)
Jodhpur,NANDANVAN FARMS,GROUP HOUSING,YASHOBHOOMI HOMES LLP,RAJ-RERA-APP-P-2023-7663,RAJ/P/2023/2511 (19/04/2023),View,RAJ_P_2023_2511 (19_04_2023)
Jaipur,THE SKY BUNGALOWS,GROUP HOUSING,ORG PROJECTS LLP,RAJ-RERA-APP-P-2023-7651,RAJ/P/2023/2512 (19/04/2023),View,RAJ_P_2023_2512 (19_04_2023)
Ajmer,Dream Estate,PLOTTED,G S DREAMHOME LLP,RAJ-RERA-APP-P-2023-7638,RAJ/P/2023/2519 (01/05/2023),View,RAJ_P_2023_2519 (01_05_2023)
Bhilwara,KAMLA SHREEJI TOWER,Commercial,ADARSH ENCLAVE,RAJ-RERA-APP-P-2023-7641,RAJ/P/2023/2516 (19/04/2023),View,RAJ_P_2023_2516 (19_04_2023)
Jaipur,SANJEEVNI AERO DREAM CITY,GROUP HOUSING,Sanjeevni Buildhome,RAJ-RERA-APP-P-2023-7628,RAJ/P/2023/2510 (19/04/2023),View,RAJ_P_2023_2510 (19_04_2023)
Bhilwara,Kesariya Paras-II,PLOTTED,G S DREAMHOME LLP,RAJ-RERA-APP-P-2023-7630,RAJ/P/2023/2504 (19/04/2023),View,RAJ_P_2023_2504 (19_04_2023)
Udaipur,SERENE LUXE,GROUP HOUSING,ARTH ASSOCIATES,RAJ-RERA-APP-P-2023-7631,RAJ/P/2023/2520 (01/05/2023),View,RAJ_P_2023_2520 (01_05_2023)
Jaipur,MAHAVEER MANGALAM BAGH,PLOTTED,Kishan Singh Chundawat,RAJ-RERA-APP-P-2023-7637,RAJ/P/2023/2529 (03/05/2023),View,RAJ_P_2023_2529 (03_05_2023)
Udaipur,AMPLE APARTMENT,GROUP HOUSING,KAMINI BHATT,RAJ-RERA-APP-P-2023-7615,RAJ/P/2023/2531 (03/05/2023),View,RAJ_P_2023_2531 (03_05_2023)
Jaipur,DDCL ELANZA,GROUP HOUSING,DDCL CONSTRUCTION COMPANY,RAJ-RERA-APP-P-2023-7621,RAJ/P/2023/2533 (10/05/2023),View,RAJ_P_2023_2533 (10_05_2023)
Alwar,MOTI DUNGRI (PART) SCHEME,PLOTTED,UIT ALWAR,RAJ-RERA-APP-P-2023-7625,RAJ/P/2023/2530 (03/05/2023),View,RAJ_P_2023_2530 (03_05_2023)
Jodhpur,"Badli Housing Scheme for Board Employee Extension HIG-103, MIG B-96, MIG A-42 Houses, Jodhpur",GROUP HOUSING,RAJASTHAN HOUSING BOARD,RAJ-RERA-APP-P-2023-7620,RAJ/P/2023/2513 (19/04/2023),View,RAJ_P_2023_2513 (19_04_2023)
Jaipur,AG HEIGHTS - I,GROUP HOUSING,AVS INFRA,RAJ-RERA-APP-P-2023-7624,RAJ/P/2023/2545 (16/05/2023),View,RAJ_P_2023_2545 (16_05_2023)
Jaipur,HANUMAN NILAYAM,GROUP HOUSING,SIDDHARTH ASSOCIATES,RAJ-RERA-APP-P-2023-7604,RAJ/P/2024/2958 (30/01/2024),View,RAJ_P_2024_2958 (30_01_2024)
Jaipur,Sinwar City,PLOTTED,SHYAMASHISH DEVELOPERS LLP,RAJ-RERA-APP-P-2023-7574,RAJ/P/2023/2496 (13/04/2023),View,RAJ_P_2023_2496 (13_04_2023)
Ajmer,R.S. NAGAR,PLOTTED,SATYA NARAIN MAHESHWARI,RAJ-RERA-APP-P-2023-7589,RAJ/P/2023/2521 (01/05/2023),View,RAJ_P_2023_2521 (01_05_2023)
Ajmer,PARVATI NAGAR,PLOTTED,SATYA NARAIN MAHESHWARI,RAJ-RERA-APP-P-2023-7560,RAJ/P/2023/2522 (01/05/2023),View,RAJ_P_2023_2522 (01_05_2023)
Barmer,ROOP VIHAR,GROUP HOUSING,MAHAROOP BUILDCON LLP,RAJ-RERA-APP-P-2023-7553,RAJ/P/2023/2515 (19/04/2023),View,RAJ_P_2023_2515 (19_04_2023)
Jaipur,ROYAL TOWN,GROUP HOUSING,Shri Ram Builders Group,RAJ-RERA-APP-P-2023-7549,RAJ/P/2023/2540 (12/05/2023),View,RAJ_P_2023_2540 (12_05_2023)
Jaipur,RIYASAT TOWN-II,PLOTTED,RIYASAT INFRA DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2023-7532,RAJ/P/2023/2489 (08/04/2023),View,RAJ_P_2023_2489 (08_04_2023)
Bharatpur,GOKULDHAM COLONY,PLOTTED,CHANDRABHAN SINGH,RAJ-RERA-APP-P-2023-7530,RAJ/P/2024/2989 (12/02/2024),View,RAJ_P_2024_2989 (12_02_2024)
Sri Ganganagar,Ridhi Sidhi Enclave - 8,PLOTTED,RIDHI SIDHI HOME DEVELOPERS PVT LTD,RAJ-RERA-APP-P-2023-7531,RAJ/P/2023/2583 (18/06/2023),View,RAJ_P_2023_2583 (18_06_2023)
Jaipur,CENTRAL PARK,GROUP HOUSING,SHRI KHATU SHYAM REALMART LLP,RAJ-RERA-APP-P-2023-7528,RAJ/P/2023/2557 (29/05/2023),View,RAJ_P_2023_2557 (29_05_2023)
Jaipur,THE ICON,GROUP HOUSING,SHRI KHATU SHYAM COLONIZERS,RAJ-RERA-APP-P-2023-7523,RAJ/P/2023/2562 (30/05/2023),View,RAJ_P_2023_2562 (30_05_2023)
Jaipur,RIYASAT GOVINDAM,PLOTTED,NEW PATH DEVELOPERS LLP,RAJ-RERA-APP-P-2023-7533,RAJ/P/2023/2485 (07/04/2023),View,RAJ_P_2023_2485 (07_04_2023)
Jaipur,Ashiana Greens Phase 6,GROUP HOUSING,The Green Triveni Developer,RAJ-RERA-APP-P-2023-7520,RAJ/P/2023/2480 (05/04/2023),View,RAJ_P_2023_2480 (05_04_2023)
Jaipur,SHANTI NAGAR,PLOTTED,MANISH MITTAL,RAJ-RERA-APP-P-2023-7522,RAJ/P/2023/2535 (10/05/2023),View,RAJ_P_2023_2535 (10_05_2023)
Bundi,AVANTIKA NAGAR,PLOTTED,RAJENDRA KUMAR,RAJ-RERA-APP-P-2023-7462,RAJ/P/2023/2523 (01/05/2023),View,RAJ_P_2023_2523 (01_05_2023)
Kota,Coral Park Block O,PLOTTED,Shubham Colonizers,RAJ-RERA-APP-P-2023-7476,RAJ/P/2023/2494 (08/04/2023),View,RAJ_P_2023_2494 (08_04_2023)
Alwar,Shopping Centre at Commercial Block- I Sector 1 & 3 Aravali Vihar Bhiwadi,PLOTTED,RAJASTHAN HOUSING BOARD,RAJ-RERA-APP-P-2023-7475,RAJ/P/2023/2478 (04/04/2023),View,RAJ_P_2023_2478 (04_04_2023)
Alwar,Shopping Centre at Commercial Block-K Sector 1 & 3 Aravali Vihar Bhiwadi,PLOTTED,RAJASTHAN HOUSING BOARD,RAJ-RERA-APP-P-2023-7474,RAJ/P/2023/2477 (04/04/2023),View,RAJ_P_2023_2477 (04_04_2023)
Jodhpur,"Udhyan Apartment HIG-B (B+S+9) 180 Nos. & MIG-B (B+S+9) 108 Nos. Sec. 21 E, Chopasni Housing Board Jodhpur",GROUP HOUSING,RAJASTHAN HOUSING BOARD,RAJ-RERA-APP-P-2023-7463,RAJ/P/2023/2482 (05/04/2023),View,RAJ_P_2023_2482 (05_04_2023)
Jodhpur,"Udhyan Apartment HIG-B (B+S+9) 180 Nos. & MIG-B (B+S+9) 108 Nos. Sec. 21 E, Chopasni Housing Board Jodhpur",GROUP HOUSING,RAJASTHAN HOUSING BOARD,RAJ-RERA-APP-P-2023-7463,RAJ/P/2023/2482 (05/04/2023),View,RAJ_P_2023_2482 (05_04_2023)
Jaipur,Balaji Enclave,PLOTTED,RAJU RAM SHARMA,RAJ-RERA-APP-P-2023-7458,RAJ/P/2023/2532 (03/05/2023),View,RAJ_P_2023_2532 (03_05_2023)
Jaipur,SHREE RADHA VIHAR,PLOTTED,AMRISH SHARMA,RAJ-RERA-APP-P-2023-7452,RAJ/P/2023/2486 (07/04/2023),View,RAJ_P_2023_2486 (07_04_2023)
Jaipur,MAHIMA AANGAN,PLOTTED,SHREE GANESHAM VILLA LLP,RAJ-RERA-APP-P-2023-7449,RAJ/P/2023/2497 (14/04/2023),View,RAJ_P_2023_2497 (14_04_2023)
Sikar,MOUNT CAPITAL GREEN,GROUP HOUSING,G RAJ INFRATEK,RAJ-RERA-APP-P-2023-7442,RAJ/P/2023/2524 (01/05/2023),View,RAJ_P_2023_2524 (01_05_2023)
Jaipur,RUHEEN SHREE,GROUP HOUSING,SAAR BUILDESTATE LLP,RAJ-RERA-APP-P-2023-7438,RAJ/P/2023/2546 (17/05/2023),View,RAJ_P_2023_2546 (17_05_2023)
Kota,SHREE NATH ROYAL CITY,PLOTTED,SHRINATH JI ASSOCIATES,RAJ-RERA-APP-P-2023-7441,RAJ/P/2023/2465 (30/03/2023),View,RAJ_P_2023_2465 (30_03_2023)
Jaipur,MANGAL RESIDENCY VEDANT SANTOSH VATIKA,GROUP HOUSING,ORG PROJECTS LLP,RAJ-RERA-APP-P-2023-7426,RAJ/P/2023/2503 (14/04/2023),View,RAJ_P_2023_2503 (14_04_2023)
Jaipur,THE MERIDIEN,GROUP HOUSING,ORANGE HOME,RAJ-RERA-APP-P-2023-7425,RAJ/P/2023/2541 (12/05/2023),View,RAJ_P_2023_2541 (12_05_2023)
Ajmer,Dhruv Vihar Colony,PLOTTED,SUNIL KUMAR,RAJ-RERA-APP-P-2023-7424,RAJ/P/2023/2490 (08/04/2023),View,RAJ_P_2023_2490 (08_04_2023)
Bikaner,Basant Vihar,PLOTTED,Basant Vihar Developers,RAJ-RERA-APP-P-2023-7418,RAJ/P/2023/2498 (14/04/2023),View,RAJ_P_2023_2498 (14_04_2023)
Kota,D. R. Builder Residency,PLOTTED,CORAL COLONIZERS,RAJ-RERA-APP-P-2023-7422,RAJ/P/2023/2455 (28/03/2023),View,RAJ_P_2023_2455 (28_03_2023)
Jaipur,GOVIND NAGAR,PLOTTED,OM PRAKASH YADAV,RAJ-RERA-APP-P-2023-7415,RAJ/P/2023/2499 (14/04/2023),View,RAJ_P_2023_2499 (14_04_2023)
Sikar,SHITAL VATIKA-2,PLOTTED,MOHAMMED ARIF KHAN,RAJ-RERA-APP-P-2023-7416,RAJ/P/2023/2467 (31/03/2023),View,RAJ_P_2023_2467 (31_03_2023)
Jaipur,NIRVANA APARTMENT,GROUP HOUSING,Delight Developer,RAJ-RERA-APP-P-2023-7410,RAJ/P/2023/2534 (10/05/2023),View,RAJ_P_2023_2534 (10_05_2023)
Ajmer,GLOBE HOMES,GROUP HOUSING,GLOBE BUILDERS AND DEVELOPERS,RAJ-RERA-APP-P-2023-7409,RAJ/P/2023/2576 (09/06/2023),View,RAJ_P_2023_2576 (09_06_2023)
Sikar,NANDAN VIHAR,PLOTTED,RAJNISH KUMAR SAINI,RAJ-RERA-APP-P-2023-7392,RAJ/P/2023/2464 (30/03/2023),View,RAJ_P_2023_2464 (30_03_2023)
Kota,CHANDRA HOMES,PLOTTED,CHANDRA REALTY,RAJ-RERA-APP-P-2023-7400,RAJ/P/2023/2483 (06/04/2023),View,RAJ_P_2023_2483 (06_04_2023)
Jodhpur,CHAITANYA,GROUP HOUSING,SANKHLA DEVELOPERS AND BUILDERS,RAJ-RERA-APP-P-2023-7394,RAJ/P/2023/2542 (12/05/2023),View,RAJ_P_2023_2542 (12_05_2023)
Alwar,SHUBHASHRAY VILAS,GROUP HOUSING,PURE AWAS BUILDERS LLP,RAJ-RERA-APP-P-2023-7393,RAJ/P/2023/2469 (02/04/2023),View,RAJ_P_2023_2469 (02_04_2023)
Kota,RAM-KANYA RESIDENCY,PLOTTED,MAHAVEER PRASAD NAYAK,RAJ-RERA-APP-P-2023-7390,RAJ/P/2023/2452 (23/03/2023),View,RAJ_P_2023_2452 (23_03_2023)
Kota,VARDHMAN ROYAL CITY BLOCK-C,PLOTTED,PRAKASH CHAND JAIN,RAJ-RERA-APP-P-2023-7385,RAJ/P/2023/2456 (28/03/2023),View,RAJ_P_2023_2456 (28_03_2023)
Alwar,ANANTA JAGAT VILLA,GROUP HOUSING,Renaissance Buildhome Pvt Ltd.,RAJ-RERA-APP-P-2023-7380,RAJ/P/2023/2493 (08/04/2023),View,RAJ_P_2023_2493 (08_04_2023)
